lambda_nm Rup_1nm Rup_8nm Rup_16nm Rup_24nm Rup_31nm Rup_39nm Rup_47nm Rup_54nm Rup_62nm Rup_70nm Rdown_1nm Rdown_8nm Rdown_16nm Rdown_24nm Rdown_31nm Rdown_39nm Rdown_47nm Rdown_54nm Rdown_62nm Rdown_70nm
527.386935 0.076667 0.111154 0.191243 0.274223 0.344065 0.397662 0.436580 0.463578 0.481557 0.493077 0.043922 0.018264 0.092272 0.178630 0.260970 0.332129 0.389518 0.433414 0.465626 0.488495
530.150754 0.075619 0.110116 0.193676 0.280660 0.353606 0.409516 0.450182 0.478515 0.497515 0.509820 0.044358 0.019425 0.096613 0.186502 0.271325 0.344104 0.402529 0.447095 0.479757 0.502949
532.914573 0.074634 0.109283 0.196372 0.287499 0.363535 0.421679 0.463999 0.493572 0.513512 0.526531 0.044754 0.020749 0.101144 0.194693 0.282013 0.356353 0.415724 0.460862 0.493882 0.517316
535.678392 0.073709 0.108693 0.199362 0.294752 0.373832 0.434112 0.477976 0.508686 0.529473 0.543132 0.045113 0.022248 0.105882 0.203201 0.293009 0.368834 0.429052 0.474660 0.507944 0.531537
538.442211 0.072838 0.108376 0.202681 0.302428 0.384472 0.446767 0.492052 0.523784 0.545322 0.559541 0.045437 0.023930 0.110849 0.212033 0.304296 0.381516 0.442474 0.488446 0.521899 0.545574
541.206030 0.072019 0.108350 0.206365 0.310528 0.395420 0.459588 0.506157 0.538791 0.560978 0.575675 0.045724 0.025786 0.116056 0.221164 0.315813 0.394317 0.455894 0.502118 0.535643 0.559318
543.969849 0.071247 0.108616 0.210446 0.319034 0.406628 0.472511 0.520218 0.553627 0.576357 0.591448 0.045983 0.027808 0.121544 0.230626 0.327585 0.407260 0.469340 0.515709 0.549218 0.572819
546.733668 0.070518 0.109163 0.214957 0.327925 0.418042 0.485467 0.534157 0.568210 0.591377 0.606778 0.046208 0.029966 0.127311 0.240356 0.339505 0.420210 0.482660 0.529061 0.562460 0.585915
549.497487 0.069830 0.109960 0.219915 0.337157 0.429599 0.498384 0.547898 0.582463 0.605962 0.621591 0.046408 0.032239 0.133406 0.250392 0.351612 0.433220 0.495920 0.542253 0.575460 0.598706
552.261307 0.069177 0.110970 0.225333 0.346685 0.441237 0.511193 0.561371 0.596316 0.620043 0.635821 0.046579 0.034582 0.139818 0.260659 0.363799 0.446159 0.508980 0.555139 0.588073 0.611048
555.025126 0.068557 0.112139 0.231207 0.356456 0.452894 0.523830 0.574510 0.609707 0.633563 0.649414 0.046722 0.036954 0.146549 0.271121 0.376017 0.458978 0.521792 0.567676 0.600263 0.622911
557.788945 0.067969 0.113403 0.237512 0.366411 0.464509 0.536232 0.587259 0.622585 0.646476 0.662331 0.046846 0.039324 0.153620 0.281798 0.388300 0.471726 0.534422 0.579948 0.612125 0.634403
560.552764 0.067408 0.114695 0.244214 0.376499 0.476029 0.548351 0.599572 0.634910 0.658748 0.674542 0.046945 0.041647 0.160988 0.292604 0.400542 0.484284 0.546747 0.591829 0.623537 0.645403
563.316583 0.066873 0.115952 0.251269 0.386669 0.487407 0.560142 0.611410 0.646649 0.670354 0.686028 0.047024 0.043905 0.168635 0.303521 0.412727 0.496647 0.558771 0.603336 0.634524 0.655943
566.080402 0.066362 0.117131 0.258629 0.396877 0.498601 0.571567 0.622742 0.657780 0.681278 0.696780 0.047081 0.046091 0.176511 0.314483 0.424783 0.508737 0.570418 0.614393 0.645015 0.665958
568.844221 0.065872 0.118219 0.266246 0.407082 0.509573 0.582594 0.633545 0.668287 0.691512 0.706795 0.047121 0.048240 0.184599 0.325486 0.436716 0.520576 0.581722 0.625049 0.655068 0.675512
571.608040 0.065402 0.119251 0.274075 0.417248 0.520290 0.593197 0.643800 0.678160 0.701051 0.716076 0.047143 0.050412 0.192865 0.336500 0.448501 0.532142 0.592669 0.635297 0.664682 0.684610
574.371859 0.064948 0.120311 0.282078 0.427343 0.530724 0.603353 0.653493 0.687392 0.709898 0.724628 0.047149 0.052691 0.201280 0.347499 0.460111 0.543415 0.603248 0.645130 0.673856 0.693256
577.135678 0.064513 0.121513 0.290222 0.437342 0.540851 0.613045 0.662614 0.695981 0.718055 0.732460 0.047137 0.055153 0.209795 0.358425 0.471483 0.554331 0.613395 0.654490 0.682536 0.701396
579.899497 0.064092 0.122963 0.298479 0.447217 0.550647 0.622254 0.671153 0.703924 0.725526 0.739582 0.047113 0.057868 0.218412 0.369297 0.482654 0.564944 0.623178 0.663456 0.690808 0.709124
