Simulation Summary - All Geometry/Material Combos
Timestamp: 20250318_185843
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 70

---- COMBINATIONS ----

Combo name: Geom_S1 - S1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 0.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=610.3015075376884 nm -> Rup=0.7260506836339743, Rdown=4.1081935909404026e-08
  λ=613.0653266331658 nm -> Rup=0.7256681635286857, Rdown=4.17600957935062e-08
  λ=615.8291457286432 nm -> Rup=0.7248128614175677, Rdown=4.249591131925771e-08
  λ=618.5929648241206 nm -> Rup=0.7234642330984126, Rdown=4.331449077865908e-08
  λ=621.356783919598 nm -> Rup=0.7215982301404179, Rdown=4.424675682883412e-08
  λ=624.1206030150754 nm -> Rup=0.719186658123347, Rdown=4.533060676405673e-08
  λ=626.8844221105528 nm -> Rup=0.7161964594279134, Rdown=4.661234563486633e-08
  λ=629.6482412060302 nm -> Rup=0.7125892743751356, Rdown=4.814840067150431e-08
  λ=632.4120603015076 nm -> Rup=0.7083212989604594, Rdown=5.000731693929616e-08
  λ=635.1758793969849 nm -> Rup=0.7033431012214282, Rdown=5.227208709538416e-08
  λ=637.9396984924623 nm -> Rup=0.6975990462283139, Rdown=5.504293596492301e-08
  λ=640.7035175879397 nm -> Rup=0.6910262837784299, Rdown=5.84407086865846e-08
  λ=643.4673366834171 nm -> Rup=0.6835536261277383, Rdown=6.261097334323289e-08
  λ=646.2311557788945 nm -> Rup=0.6751007657123287, Rdown=6.772887726814287e-08
  λ=648.9949748743719 nm -> Rup=0.6655780008933301, Rdown=7.400478010776692e-08
  λ=651.7587939698492 nm -> Rup=0.6548862583775318, Rdown=8.169074728249777e-08
  λ=654.5226130653266 nm -> Rup=0.6429171303193784, Rdown=9.108804076206034e-08
  λ=657.286432160804 nm -> Rup=0.6295528320717989, Rdown=1.0255574447180149e-07
  λ=660.0502512562814 nm -> Rup=0.6146662608082606, Rdown=1.1652059693673974e-07
  λ=662.8140703517588 nm -> Rup=0.5981216970746169, Rdown=1.3348789535687912e-07
  λ=665.5778894472362 nm -> Rup=0.579776942662675, Rdown=1.540529960385426e-07
  λ=668.3417085427136 nm -> Rup=0.5594875035375447, Rdown=1.789126356474377e-07
  λ=671.105527638191 nm -> Rup=0.5371130863239052, Rdown=2.0887499486635745e-07
  λ=673.8693467336684 nm -> Rup=0.512526768862446, Rdown=2.448668004251598e-07
  λ=676.6331658291458 nm -> Rup=0.48562758143899243, Rdown=2.879347816046758e-07
  λ=679.3969849246231 nm -> Rup=0.45635727477669813, Rdown=3.392378006435963e-07
  λ=682.1608040201005 nm -> Rup=0.42472180782371166, Rdown=4.000249328799292e-07
  λ=684.9246231155779 nm -> Rup=0.3908179916703547, Rdown=4.715933550386205e-07
  λ=687.6884422110553 nm -> Rup=0.3548653012286207, Rdown=5.552187217311683e-07
  λ=690.4522613065327 nm -> Rup=0.31724113558092293, Rdown=6.520514248669117e-07
  λ=693.2160804020101 nm -> Rup=0.2785150109280631, Rdown=7.629756214355795e-07
  λ=695.9798994974874 nm -> Rup=0.23947466774763226, Rdown=8.884337593329195e-07
  λ=698.7437185929648 nm -> Rup=0.20113533544322434, Rdown=1.028228129377008e-06
  λ=701.5075376884422 nm -> Rup=0.16472193120486345, Rdown=1.1813247991744707e-06
  λ=704.2713567839196 nm -> Rup=0.1316139452357129, Rdown=1.3457025654511308e-06
  λ=707.035175879397 nm -> Rup=0.10324753638271358, Rdown=1.5183008434348268e-06
  λ=709.7989949748744 nm -> Rup=0.08098041865363963, Rdown=1.6951141151118112e-06
  λ=712.5628140703518 nm -> Rup=0.06593881053410833, Rdown=1.8714536479652867e-06
  λ=715.3266331658292 nm -> Rup=0.058875790549695675, Rdown=2.042356830966316e-06
  λ=718.0904522613066 nm -> Rup=0.06007258543143842, Rdown=2.203081139634466e-06
  λ=720.854271356784 nm -> Rup=0.06930706365996463, Rdown=2.3495858656034637e-06
  λ=723.6180904522613 nm -> Rup=0.08589740491910135, Rdown=2.478898063510206e-06
  λ=726.3819095477387 nm -> Rup=0.10880808959195956, Rdown=2.5892923699902286e-06
  λ=729.1457286432161 nm -> Rup=0.13678939376158641, Rdown=2.680275364882659e-06
  λ=731.9095477386935 nm -> Rup=0.1685183064542301, Rdown=2.7524194660193727e-06
  λ=734.6733668341708 nm -> Rup=0.20271722672385933, Rdown=2.8071126206243033e-06
  λ=737.4371859296482 nm -> Rup=0.23823903424698975, Rdown=2.84628210988051e-06
  λ=740.2010050251256 nm -> Rup=0.27411669700750496, Rdown=2.872134145388004e-06
  λ=742.964824120603 nm -> Rup=0.30958141628019503, Rdown=2.886937142683298e-06
  λ=745.7286432160804 nm -> Rup=0.3440567409399692, Rdown=2.89286397486677e-06
  λ=748.4924623115578 nm -> Rup=0.3771376028336386, Rdown=2.891894535346923e-06
  λ=751.2562814070352 nm -> Rup=0.408562579813341, Rdown=2.8857676484097563e-06
  λ=754.0201005025126 nm -> Rup=0.43818524953754673, Rdown=2.8759659269454132e-06
  λ=756.78391959799 nm -> Rup=0.46594758226418226, Rdown=2.863719798360917e-06
  λ=759.5477386934674 nm -> Rup=0.491856316515219, Rdown=2.8500234511991077e-06
  λ=762.3115577889448 nm -> Rup=0.5159626122962778, Rdown=2.8356603028587275e-06
  λ=765.0753768844222 nm -> Rup=0.5383454193755587, Rdown=2.821236081224143e-06
  λ=767.8391959798995 nm -> Rup=0.5590990447003124, Rdown=2.807215185330975e-06
  λ=770.6030150753769 nm -> Rup=0.578324900407978, Rdown=2.7939542384191844e-06
  λ=773.3668341708543 nm -> Rup=0.5961266273340856, Rdown=2.781728090655247e-06
  λ=776.1306532663317 nm -> Rup=0.6126073043397915, Rdown=2.770747286211941e-06
  λ=778.894472361809 nm -> Rup=0.6278675774218834, Rdown=2.7611695111448845e-06
  λ=781.6582914572864 nm -> Rup=0.6420041000772808, Rdown=2.7531087027602866e-06
  λ=784.4221105527638 nm -> Rup=0.6551082539618611, Rdown=2.746644164729109e-06
  λ=787.1859296482412 nm -> Rup=0.6672653876780699, Rdown=2.7418296463349582e-06
  λ=789.9497487437186 nm -> Rup=0.6785547041304276, Rdown=2.7387007751450735e-06
  λ=792.713567839196 nm -> Rup=0.6890496388884305, Rdown=2.7372794233823837e-06
  λ=795.4773869346734 nm -> Rup=0.6988183714601052, Rdown=2.737575009560876e-06
  λ=798.2412060301508 nm -> Rup=0.7079241224972272, Rdown=2.739584186131306e-06
  λ=801.0050251256282 nm -> Rup=0.7164250757112779, Rdown=2.7432910391917452e-06
  λ=803.7688442211056 nm -> Rup=0.7243740241113097, Rdown=2.748669543435556e-06
  λ=806.532663316583 nm -> Rup=0.7318180533919584, Rdown=2.7556886184851963e-06
  λ=809.2964824120603 nm -> Rup=0.7387986062279224, Rdown=2.764318370577923e-06
  λ=812.0603015075377 nm -> Rup=0.7453520685900444, Rdown=2.7745351526730332e-06
  λ=814.8241206030151 nm -> Rup=0.7515107235194356, Rdown=2.786323697736981e-06
  λ=817.5879396984925 nm -> Rup=0.7573037447776629, Rdown=2.7996762353870343e-06
  λ=820.3517587939698 nm -> Rup=0.7627579459605937, Rdown=2.814589933782339e-06
  λ=823.1155778894472 nm -> Rup=0.7678981769491798, Rdown=2.831064421519668e-06
  λ=825.8793969849246 nm -> Rup=0.7727474367054276, Rdown=2.8491006045089385e-06
  λ=828.643216080402 nm -> Rup=0.7773268659714806, Rdown=2.868701009014865e-06
  λ=831.4070351758794 nm -> Rup=0.7816557798570366, Rdown=2.8898710099603306e-06
  λ=834.1708542713568 nm -> Rup=0.7857518240799807, Rdown=2.9126199409940298e-06
  λ=836.9346733668342 nm -> Rup=0.7896312465400537, Rdown=2.9369612985784884e-06
  λ=839.6984924623116 nm -> Rup=0.7933092138819271, Rdown=2.9629117792837976e-06
  λ=842.462311557789 nm -> Rup=0.796800085590603, Rdown=2.9904893935953523e-06
  λ=845.2261306532664 nm -> Rup=0.8001175695373353, Rdown=3.0197112482914905e-06
  λ=847.9899497487438 nm -> Rup=0.8032747106047176, Rdown=3.0505917998015016e-06
  λ=850.7537688442212 nm -> Rup=0.8062837119241703, Rdown=3.0831424043405105e-06
  λ=853.5175879396985 nm -> Rup=0.8091556559666041, Rdown=3.117372665645973e-06
  λ=856.2814070351759 nm -> Rup=0.811900252856086, Rdown=3.1532933622576833e-06
  λ=859.0452261306533 nm -> Rup=0.8145257493951393, Rdown=3.1909199325572402e-06
  λ=861.8090452261307 nm -> Rup=0.8170390631499738, Rdown=3.2302751488543194e-06
  λ=864.572864321608 nm -> Rup=0.8194460985516017, Rdown=3.2713900165176755e-06
  λ=867.3366834170854 nm -> Rup=0.821752126851677, Rdown=3.3143028118122846e-06
  λ=870.1005025125628 nm -> Rup=0.8239621077662539, Rdown=3.359056942430553e-06
  λ=872.8643216080402 nm -> Rup=0.8260808808856055, Rdown=3.405698604967717e-06
  λ=875.6281407035176 nm -> Rup=0.828113217522621, Rdown=3.454275054908836e-06
  λ=878.391959798995 nm -> Rup=0.8300637693926212, Rdown=3.5048339139741175e-06
  λ=881.1557788944724 nm -> Rup=0.8319369716146218, Rdown=3.557423504517356e-06
  λ=883.9195979899498 nm -> Rup=0.8337369564220767, Rdown=3.612093842944771e-06
  λ=886.6834170854272 nm -> Rup=0.8354675154400926, Rdown=3.6688977503380744e-06
  λ=889.4472361809046 nm -> Rup=0.8371321213279329, Rdown=3.727891591751399e-06
  λ=892.211055276382 nm -> Rup=0.8387339966657977, Rdown=3.789135385318046e-06
  λ=894.9748743718593 nm -> Rup=0.8402762065757289, Rdown=3.852692276301602e-06
  λ=897.7386934673367 nm -> Rup=0.8417617527527472, Rdown=3.918627522689392e-06
  λ=900.5025125628141 nm -> Rup=0.8431936526930228, Rdown=3.9870071821804325e-06
