Simulation Summary - All Geometry/Material Combos
Timestamp: 20250314_165519
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 70

---- COMBINATIONS ----

Combo name: Geometry_1 - Config_1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 2.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 1.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=618.5929648241206 nm -> Rup=0.616179993381103, Rdown=0.6350681861213037
  λ=621.356783919598 nm -> Rup=0.5876330835344665, Rdown=0.6104103392119872
  λ=624.1206030150754 nm -> Rup=0.5541408742019888, Rdown=0.5813638385902433
  λ=626.8844221105528 nm -> Rup=0.515700572531899, Rdown=0.5479024766959439
  λ=629.6482412060302 nm -> Rup=0.4725813093541256, Rdown=0.5102012173522351
  λ=632.4120603015076 nm -> Rup=0.42538559874862075, Rdown=0.4687498072029951
  λ=635.1758793969849 nm -> Rup=0.3750802372230374, Rdown=0.42433542336450986
  λ=637.9396984924623 nm -> Rup=0.3229859058799875, Rdown=0.37802433181426504
  λ=640.7035175879397 nm -> Rup=0.27071627128326436, Rdown=0.3312301630789756
  λ=643.4673366834171 nm -> Rup=0.22002755764635376, Rdown=0.28543428049184477
  λ=646.2311557788945 nm -> Rup=0.17266062315421124, Rdown=0.24220677405647148
  λ=648.9949748743719 nm -> Rup=0.13015506973395313, Rdown=0.20286267381862003
  λ=651.7587939698492 nm -> Rup=0.09369505076160974, Rdown=0.16848801668102753
  λ=654.5226130653266 nm -> Rup=0.0640187476005095, Rdown=0.13980703833521882
  λ=657.286432160804 nm -> Rup=0.041396738732512844, Rdown=0.11709299352255888
  λ=660.0502512562814 nm -> Rup=0.025681578932565882, Rdown=0.10028882103989543
  λ=662.8140703517588 nm -> Rup=0.016393818137402157, Rdown=0.0890351544029599
  λ=665.5778894472362 nm -> Rup=0.012833849569574892, Rdown=0.08276582171391333
  λ=668.3417085427136 nm -> Rup=0.014186603034770578, Rdown=0.0808124362250553
  λ=671.105527638191 nm -> Rup=0.019608874405171714, Rdown=0.08246664373209878
  λ=673.8693467336684 nm -> Rup=0.02829107594370646, Rdown=0.08703721089092983
  λ=676.6331658291458 nm -> Rup=0.03949626577594849, Rdown=0.09390550993928676
  λ=679.3969849246231 nm -> Rup=0.05258418237651174, Rdown=0.1025009305738633
  λ=682.1608040201005 nm -> Rup=0.06701010592530174, Rdown=0.11237098559344594
  λ=684.9246231155779 nm -> Rup=0.08232999218964664, Rdown=0.12310768681187269
  λ=687.6884422110553 nm -> Rup=0.09818356210041805, Rdown=0.13440261817410498
  λ=690.4522613065327 nm -> Rup=0.11428898788934752, Rdown=0.14599141404417884
  λ=693.2160804020101 nm -> Rup=0.13042519820328777, Rdown=0.15770315125260137
  λ=695.9798994974874 nm -> Rup=0.14642905798513378, Rdown=0.1693590283390886
  λ=698.7437185929648 nm -> Rup=0.16217629117488003, Rdown=0.18085767207520953
  λ=701.5075376884422 nm -> Rup=0.17757716895936795, Rdown=0.19211040613491415
  λ=704.2713567839196 nm -> Rup=0.1925707767067425, Rdown=0.20306440663386485
  λ=707.035175879397 nm -> Rup=0.20711589776646108, Rdown=0.21367227297355884
  λ=709.7989949748744 nm -> Rup=0.22118584098224114, Rdown=0.22391478246688415
  λ=712.5628140703518 nm -> Rup=0.23477014058026988, Rdown=0.233769388323541
  λ=715.3266331658292 nm -> Rup=0.2478648082206658, Rdown=0.2432352944897994
  λ=718.0904522613066 nm -> Rup=0.2604735524808929, Rdown=0.25230855280815195
  λ=720.854271356784 nm -> Rup=0.272605085186329, Rdown=0.2609932376853049
  λ=723.6180904522613 nm -> Rup=0.28427463451883556, Rdown=0.26928494615888304
  λ=726.3819095477387 nm -> Rup=0.2954937118799405, Rdown=0.2772169219994784
  λ=729.1457286432161 nm -> Rup=0.30628033333688914, Rdown=0.2847994956432798
  λ=731.9095477386935 nm -> Rup=0.3166518604259526, Rdown=0.29202347444304794
  λ=734.6733668341708 nm -> Rup=0.32662551300860887, Rdown=0.29892345439466134
  λ=737.4371859296482 nm -> Rup=0.336219466625894, Rdown=0.3055100220266085
