Simulation Summary - All Geometry/Material Combos
Timestamp: 20250415_120241
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 60

---- COMBINATIONS ----

Combo name: c70_g2_m10 - Mat_S1
Geometry:
{'thick_super': 200.0, 'thick_reso': 70.0, 'width_reso': 70.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 2.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}]
RI Overrides: {'perm_reso': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}, 'perm_metalliclayer': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}, 'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}
Reflectance points (Rup, Rdown):
  λ=300.0 nm -> Rup=0.1413292747982794, Rdown=0.16588382556658535
  λ=303.76884422110555 nm -> Rup=0.1370885633387112, Rdown=0.1681176950069247
  λ=307.53768844221105 nm -> Rup=0.132914024369792, Rdown=0.17039279785711392
  λ=311.3065326633166 nm -> Rup=0.12777541282857927, Rdown=0.17172022584191365
  λ=315.0753768844221 nm -> Rup=0.12089781205153922, Rdown=0.17128234260749625
  λ=318.84422110552765 nm -> Rup=0.11416367868423098, Rdown=0.17083135345897632
  λ=322.61306532663315 nm -> Rup=0.10758096254742092, Rdown=0.17037038682935013
  λ=326.3819095477387 nm -> Rup=0.1011575325202611, Rdown=0.16990157104511167
  λ=330.1507537688442 nm -> Rup=0.09490101440344778, Rdown=0.1694312406697313
  λ=333.91959798994975 nm -> Rup=0.09025655828950908, Rdown=0.16858915269761585
  λ=337.6884422110553 nm -> Rup=0.08603646466454135, Rdown=0.1676663539605821
  λ=341.4572864321608 nm -> Rup=0.08206876101133691, Rdown=0.16670794665132163
  λ=345.22613065326635 nm -> Rup=0.07838702731267096, Rdown=0.16570696384379177
  λ=348.99497487437185 nm -> Rup=0.0750245602271261, Rdown=0.164660297152466
  λ=352.7638190954774 nm -> Rup=0.07201423317278875, Rdown=0.16356393735955116
  λ=356.5326633165829 nm -> Rup=0.07046337606803894, Rdown=0.1625152179811046
  λ=360.30150753768845 nm -> Rup=0.07007227124889383, Rdown=0.161492920818355
  λ=364.070351758794 nm -> Rup=0.07018126281925041, Rdown=0.1604355264914036
  λ=367.8391959798995 nm -> Rup=0.07080820492171636, Rdown=0.15934246949972464
  λ=371.608040201005 nm -> Rup=0.07196933920882785, Rdown=0.15821333518813518
  λ=375.37688442211055 nm -> Rup=0.0736794270452879, Rdown=0.15704642233485708
  λ=379.1457286432161 nm -> Rup=0.0759518584790867, Rdown=0.1558437372192104
  λ=382.9145728643216 nm -> Rup=0.0812134737757948, Rdown=0.1547219884305317
  λ=386.68341708542715 nm -> Rup=0.09197012151567317, Rdown=0.1538938147540372
  λ=390.45226130653265 nm -> Rup=0.10477823959004907, Rdown=0.15326242215282787
  λ=394.2211055276382 nm -> Rup=0.11978695871162283, Rdown=0.15286514612254518
  λ=397.9899497487437 nm -> Rup=0.1371694139520734, Rdown=0.15273682580807213
  λ=401.75879396984925 nm -> Rup=0.15712929034398196, Rdown=0.15291013108268456
  λ=405.5276381909548 nm -> Rup=0.179907871383846, Rdown=0.15342102328308335
  λ=409.2964824120603 nm -> Rup=0.20579134088227954, Rdown=0.15430311923251816
  λ=413.06532663316585 nm -> Rup=0.2351179929029198, Rdown=0.15559593920398254
  λ=416.83417085427135 nm -> Rup=0.2584848148123689, Rdown=0.16249598912023114
  λ=420.6030150753769 nm -> Rup=0.28186349907962094, Rdown=0.169282035094124
  λ=424.3718592964824 nm -> Rup=0.3059160733820693, Rdown=0.17566453207162674
  λ=428.14070351758795 nm -> Rup=0.3311703794516402, Rdown=0.18200958092928135
  λ=431.9095477386935 nm -> Rup=0.3584773261829065, Rdown=0.18922651366100418
  λ=435.678391959799 nm -> Rup=0.38851235569209147, Rdown=0.19895871390003642
  λ=439.4472361809045 nm -> Rup=0.4208456385984005, Rdown=0.21333891577668418
  λ=443.21608040201005 nm -> Rup=0.45335549605126063, Rdown=0.2340614878365122
  λ=446.9849246231156 nm -> Rup=0.4827310264788762, Rdown=0.26140224790616273
  λ=450.7537688442211 nm -> Rup=0.5056556411944144, Rdown=0.2939843751096202
  λ=454.5226130653266 nm -> Rup=0.4883949400837183, Rdown=0.31455000430802577
  λ=458.2914572864322 nm -> Rup=0.4669582276184994, Rdown=0.3335134075367449
  λ=462.0603015075377 nm -> Rup=0.4427634926722848, Rdown=0.3510596214950716
  λ=465.8291457286432 nm -> Rup=0.4163058967824525, Rdown=0.3670984774006796
  λ=469.59798994974875 nm -> Rup=0.38809398102085146, Rdown=0.3815809906403357
  λ=473.3668341708543 nm -> Rup=0.35865968704944723, Rdown=0.3945042516651783
  λ=477.1356783919598 nm -> Rup=0.3285574649358196, Rdown=0.40589646264892276
  λ=480.9045226130653 nm -> Rup=0.29835327813947615, Rdown=0.4158092507027287
  λ=484.67336683417085 nm -> Rup=0.268605876837327, Rdown=0.4243214601750555
  λ=488.4422110552764 nm -> Rup=0.23984340824811567, Rdown=0.4315268137961205
  λ=492.2110552763819 nm -> Rup=0.2125389712321767, Rdown=0.4375319557679122
  λ=495.97989949748745 nm -> Rup=0.18714965729447464, Rdown=0.442451590882311
  λ=499.748743718593 nm -> Rup=0.16899793404109653, Rdown=0.4464706461524907
  λ=503.5175879396985 nm -> Rup=0.15272626981588036, Rdown=0.4497779093052101
  λ=507.286432160804 nm -> Rup=0.138313383409362, Rdown=0.452434451534271
  λ=511.05527638190955 nm -> Rup=0.1256977120768004, Rdown=0.45449684579306826
  λ=514.8241206030151 nm -> Rup=0.11478556588167527, Rdown=0.45601363044171267
  λ=518.5929648241206 nm -> Rup=0.10546014187504153, Rdown=0.4570388695089627
  λ=522.3618090452261 nm -> Rup=0.09758913477514605, Rdown=0.4576125238402139
  λ=526.1306532663317 nm -> Rup=0.09103195275185243, Rdown=0.45777081670646524
  λ=529.8994974874372 nm -> Rup=0.08564563653710991, Rdown=0.45754906124761197
  λ=533.6683417085427 nm -> Rup=0.08129012742791152, Rdown=0.4569773653035863
  λ=537.4371859296482 nm -> Rup=0.0778312822757229, Rdown=0.45608091673951623
  λ=541.2060301507538 nm -> Rup=0.0751434184915167, Rdown=0.4548798119394783
  λ=544.9748743718593 nm -> Rup=0.07311100365436797, Rdown=0.4533964915022285
  λ=548.7437185929648 nm -> Rup=0.0716294471340613, Rdown=0.4516485682036797
  λ=552.5125628140704 nm -> Rup=0.07083978171259171, Rdown=0.4498545469695047
  λ=556.2814070351759 nm -> Rup=0.07054489576176504, Rdown=0.44803244079739374
  λ=560.0502512562814 nm -> Rup=0.07022890831147253, Rdown=0.44582988932580647
  λ=563.819095477387 nm -> Rup=0.06986504279890618, Rdown=0.4432586662779272
  λ=567.5879396984924 nm -> Rup=0.06943225676816636, Rdown=0.44032718941243143
  λ=571.356783919598 nm -> Rup=0.0689145144744613, Rdown=0.4370491026939139
  λ=575.1256281407035 nm -> Rup=0.06829976546568897, Rdown=0.433434925448118
  λ=578.894472361809 nm -> Rup=0.06757935960282448, Rdown=0.42949437475287544
  λ=582.6633165829146 nm -> Rup=0.06674764029428511, Rdown=0.42523765208095055
  λ=586.4321608040201 nm -> Rup=0.06580127532477535, Rdown=0.4206740369289906
  λ=590.2010050251256 nm -> Rup=0.06473896174292382, Rdown=0.4158105408413219
  λ=593.9698492462312 nm -> Rup=0.06356130351500412, Rdown=0.41065835495429576
  λ=597.7386934673367 nm -> Rup=0.06227037413811973, Rdown=0.4052265254596812
  λ=601.5075376884422 nm -> Rup=0.06086963143756749, Rdown=0.39952548642163865
  λ=605.2763819095478 nm -> Rup=0.0593639667570073, Rdown=0.3935628336461374
  λ=609.0452261306532 nm -> Rup=0.0577590289241081, Rdown=0.38734264526782014
  λ=612.8140703517588 nm -> Rup=0.056062295717765255, Rdown=0.38087907252486003
  λ=616.5829145728644 nm -> Rup=0.05428189899095958, Rdown=0.37418004080985534
