  λ=472.3618090452261 nm -> Rup=0.1419498535984364, Rdown=0.0724091021946764
  λ=475.8793969849246 nm -> Rup=0.14291555791934854, Rdown=0.07044401394015981
  λ=479.3969849246231 nm -> Rup=0.14394268320210854, Rdown=0.06872533813999748
  λ=482.9145728643216 nm -> Rup=0.14494666452866803, Rdown=0.06723228636208389
  λ=486.4321608040201 nm -> Rup=0.1458709830768227, Rdown=0.06592524131838988
  λ=489.9497487437186 nm -> Rup=0.14668575170032533, Rdown=0.06476449248705164
  λ=493.4673366834171 nm -> Rup=0.14737599306452906, Rdown=0.06371561482241678
  λ=496.9849246231156 nm -> Rup=0.1476200259662088, Rdown=0.06263061571901281
  λ=500.5025125628141 nm -> Rup=0.1470211485412847, Rdown=0.06131248517188181
  λ=504.0201005025126 nm -> Rup=0.14634260741631858, Rdown=0.06001356494789743
  λ=507.53768844221105 nm -> Rup=0.14559385934737573, Rdown=0.05872582346071809
  λ=511.05527638190955 nm -> Rup=0.14478823077328493, Rdown=0.05744696510577713
  λ=514.572864321608 nm -> Rup=0.14394065288929972, Rdown=0.05618151439706269
  λ=518.0904522613066 nm -> Rup=0.1430629676964909, Rdown=0.05493980514283036
  λ=521.608040201005 nm -> Rup=0.1421624010044735, Rdown=0.053729873415628605
  λ=525.1256281407035 nm -> Rup=0.14124222605203401, Rdown=0.05255516192778591
  λ=528.643216080402 nm -> Rup=0.14030339405927206, Rdown=0.051416348822883026
  λ=532.1608040201005 nm -> Rup=0.13934653007061545, Rdown=0.05031176198044358
  λ=535.678391959799 nm -> Rup=0.13837302679282187, Rdown=0.04923892166514149
  λ=539.1959798994975 nm -> Rup=0.13738455690639156, Rdown=0.04819574760534566
  λ=542.713567839196 nm -> Rup=0.13638320367521367, Rdown=0.047181117111147246
  λ=546.2311557788945 nm -> Rup=0.13537156858775212, Rdown=0.0461941337175934
  λ=549.748743718593 nm -> Rup=0.13435184382369295, Rdown=0.045234662744396935
  λ=553.2663316582915 nm -> Rup=0.13336706576200985, Rdown=0.04455835011088642
  λ=556.78391959799 nm -> Rup=0.13245008238732098, Rdown=0.0441035309125959
  λ=560.3015075376884 nm -> Rup=0.13158896219192787, Rdown=0.04373531346522387
  λ=563.819095477387 nm -> Rup=0.13078460593036262, Rdown=0.04345701101816755
  λ=567.3366834170854 nm -> Rup=0.13003791266789785, Rdown=0.043271378817623884
  λ=570.854271356784 nm -> Rup=0.12934982093409114, Rdown=0.043182026743515484
  λ=574.3718592964824 nm -> Rup=0.12872105326056196, Rdown=0.043192018875488264
  λ=577.8894472361809 nm -> Rup=0.12815181575614934, Rdown=0.04330424074313525
  λ=581.4070351758794 nm -> Rup=0.127643120330192, Rdown=0.04352171606046427
  λ=584.9246231155779 nm -> Rup=0.12719648853502508, Rdown=0.04384744744380394
  λ=588.4422110552764 nm -> Rup=0.12681222799400643, Rdown=0.0442846362521587
  λ=591.9597989949749 nm -> Rup=0.1264915900941946, Rdown=0.04483621605658254
  λ=595.4773869346734 nm -> Rup=0.12623720005905087, Rdown=0.04550594984109194
  λ=598.9949748743718 nm -> Rup=0.1260512131038068, Rdown=0.0462981391837071
  λ=602.5125628140704 nm -> Rup=0.12593468110739492, Rdown=0.04721679420449282
  λ=606.0301507537688 nm -> Rup=0.12588806432482333, Rdown=0.048265174058100824
  λ=609.5477386934674 nm -> Rup=0.12591380239261613, Rdown=0.049446898307215326
  λ=613.0653266331658 nm -> Rup=0.12601527682070343, Rdown=0.05076728732210175
  λ=616.5829145728644 nm -> Rup=0.12619520718356295, Rdown=0.05223148232746312
  λ=620.1005025125628 nm -> Rup=0.12659656451453932, Rdown=0.05392860250169046
  λ=623.6180904522613 nm -> Rup=0.12973075854327104, Rdown=0.05735940745066992
  λ=627.1356783919598 nm -> Rup=0.13299384164174372, Rdown=0.06097054827796544
  λ=630.6532663316583 nm -> Rup=0.13638762863300502, Rdown=0.06476507223642203
  λ=634.1708542713568 nm -> Rup=0.13991660003378836, Rdown=0.06874728258883382
  λ=637.6884422110553 nm -> Rup=0.1435854971077526, Rdown=0.07292298584508604
  λ=641.2060301507538 nm -> Rup=0.14739674757728846, Rdown=0.07729767468648635
  λ=644.7236180904522 nm -> Rup=0.15135041290731846, Rdown=0.08187521648298249
  λ=648.2412060301508 nm -> Rup=0.1554450092007258, Rdown=0.08665814928337127
  λ=651.7587939698492 nm -> Rup=0.15967883113193015, Rdown=0.09164712909320746
  λ=655.2763819095478 nm -> Rup=0.16405049093345941, Rdown=0.09684380431407524
  λ=658.7939698492462 nm -> Rup=0.16856199514575562, Rdown=0.1022508981463808
  λ=662.3115577889448 nm -> Rup=0.17321932122310382, Rdown=0.10787393590799074
  λ=665.8291457286432 nm -> Rup=0.17803155580404773, Rdown=0.11372254106193828
  λ=669.3467336683417 nm -> Rup=0.18300640491099993, Rdown=0.11980908213896845
  λ=672.8643216080402 nm -> Rup=0.18814620307976163, Rdown=0.1261431131983164
  λ=676.3819095477387 nm -> Rup=0.19344717443544415, Rdown=0.13272999672762278
  λ=679.8994974874372 nm -> Rup=0.19890345057854014, Rdown=0.13957187379094804
  λ=683.4170854271357 nm -> Rup=0.20451197693601053, Rdown=0.14667093905511444
  λ=686.9346733668342 nm -> Rup=0.2102757613821962, Rdown=0.1540327852590161
  λ=690.4522613065327 nm -> Rup=0.2162027194064941, Rdown=0.16166756104313235
  λ=693.9698492462312 nm -> Rup=0.2222988077500071, Rdown=0.1695890936123725
  λ=697.4874371859296 nm -> Rup=0.228560660263431, Rdown=0.177809415806962
  λ=701.0050251256282 nm -> Rup=0.23497392302294864, Rdown=0.1863350363903985
  λ=704.5226130653266 nm -> Rup=0.24151694741509852, Rdown=0.19516761316508982
  λ=708.0402010050252 nm -> Rup=0.24816338057760787, Rdown=0.20430431521116613
  λ=711.5577889447236 nm -> Rup=0.25346075495568204, Rdown=0.21128149438439925
  λ=715.0753768844221 nm -> Rup=0.258433960356149, Rdown=0.21798736680881844
  λ=718.5929648241206 nm -> Rup=0.2632327299763161, Rdown=0.22473601830287826
  λ=722.1105527638191 nm -> Rup=0.2678188132486305, Rdown=0.23150418858509234
  λ=725.6281407035176 nm -> Rup=0.27216644580139304, Rdown=0.2382765231617896
  λ=729.1457286432161 nm -> Rup=0.27626004373380364, Rdown=0.2450514202781618
  λ=732.6633165829146 nm -> Rup=0.2800760086140577, Rdown=0.2518330496374696
  λ=736.1809045226131 nm -> Rup=0.28355448493847313, Rdown=0.2586095360888842
  λ=739.6984924623116 nm -> Rup=0.2865802082680398, Rdown=0.2653318277927415
  λ=743.21608040201 nm -> Rup=0.2889849537512594, Rdown=0.2719069508019812
  λ=746.7336683417086 nm -> Rup=0.29056431526249427, Rdown=0.2782032163882338
  λ=750.251256281407 nm -> Rup=0.2910923012710092, Rdown=0.28405655161008725
  λ=753.7688442211056 nm -> Rup=0.2903243523347989, Rdown=0.2892718250022199
  λ=757.286432160804 nm -> Rup=0.287993556104353, Rdown=0.29361719681064186
  λ=760.8040201005026 nm -> Rup=0.28381489366373325, Rdown=0.2968189871527613
  λ=764.321608040201 nm -> Rup=0.27751310030106985, Rdown=0.29856464753247297
  λ=767.8391959798995 nm -> Rup=0.26887597140910097, Rdown=0.2985320539373794
  λ=771.356783919598 nm -> Rup=0.2578245082896367, Rdown=0.29643559230768435
  λ=774.8743718592965 nm -> Rup=0.24448141541775273, Rdown=0.29209261657420027
  λ=778.391959798995 nm -> Rup=0.22921826018437286, Rdown=0.2854812655408175
  λ=781.9095477386935 nm -> Rup=0.2126596448224751, Rdown=0.2767826566223506
  λ=785.427135678392 nm -> Rup=0.19564005553751462, Rdown=0.26639204841503333
  λ=788.9447236180904 nm -> Rup=0.1791189314775657, Rdown=0.25489577879279635
  λ=792.462311557789 nm -> Rup=0.16406272388409027, Rdown=0.24300902412666542
  λ=795.9798994974874 nm -> Rup=0.15131093152689062, Rdown=0.2314794473739392
  λ=799.497487437186 nm -> Rup=0.14146509781604416, Rdown=0.22098162346270295
  λ=803.0150753768844 nm -> Rup=0.13483860316192953, Rdown=0.2120367975796648
  λ=806.532663316583 nm -> Rup=0.13146980393028965, Rdown=0.204979166693214
  λ=810.0502512562814 nm -> Rup=0.13117832850831135, Rdown=0.1999585771808035
  λ=813.5678391959799 nm -> Rup=0.13363736297218573, Rdown=0.1969739187674779
  λ=817.0854271356784 nm -> Rup=0.13844306097947454, Rdown=0.19591508273510866
  λ=820.6030150753769 nm -> Rup=0.1451665602533039, Rdown=0.1966027845694877
  λ=824.1206030150754 nm -> Rup=0.15338781678280586, Rdown=0.1988184314610818
  λ=827.6381909547739 nm -> Rup=0.1625849743799618, Rdown=0.20217851942079237
  λ=831.1557788944724 nm -> Rup=0.1721198017795799, Rdown=0.20614631894035432
  λ=834.6733668341709 nm -> Rup=0.18197675430993027, Rdown=0.21079791675995943
  λ=838.1909547738694 nm -> Rup=0.19196695623493934, Rdown=0.2159662790139896
  λ=841.7085427135679 nm -> Rup=0.2019455054664573, Rdown=0.2215090393630217
  λ=845.2261306532663 nm -> Rup=0.21180748472921374, Rdown=0.22730986661669123
  λ=848.7437185929648 nm -> Rup=0.22148320148117343, Rdown=0.23327798676894054
  λ=852.2613065326633 nm -> Rup=0.2309316610021038, Rdown=0.23934554373228284
  λ=855.7788944723618 nm -> Rup=0.24013244073000062, Rdown=0.2454629536665217
  λ=859.2964824120603 nm -> Rup=0.2490774001178441, Rdown=0.2515942835125836
  λ=862.8140703517588 nm -> Rup=0.25776431136994776, Rdown=0.2577136358206114
  λ=866.3316582914573 nm -> Rup=0.2661935633553101, Rdown=0.26380041241405616
  λ=869.8492462311558 nm -> Rup=0.2743669992758853, Rdown=0.26983731241704406
  λ=873.3668341708543 nm -> Rup=0.2822878255993017, Rdown=0.27581015517671875
  λ=876.8844221105528 nm -> Rup=0.2899608654002378, Rdown=0.2817070311052128
  λ=880.4020100502513 nm -> Rup=0.29739293576900194, Rdown=0.2875190323803373
  λ=883.9195979899498 nm -> Rup=0.30459323548569067, Rdown=0.2932399240571615
  λ=887.4371859296483 nm -> Rup=0.3115735552683172, Rdown=0.29886645597593714
  λ=890.9547738693468 nm -> Rup=0.31834797325901676, Rdown=0.3043985561636889
  λ=894.4723618090452 nm -> Rup=0.3249317846201804, Rdown=0.3098383121849024
  λ=897.9899497487437 nm -> Rup=0.3313399904994052, Rdown=0.3151896397776913
  λ=901.5075376884422 nm -> Rup=0.3375858237255847, Rdown=0.32045631075849323
  λ=905.0251256281407 nm -> Rup=0.34368003395922353, Rdown=0.325641266626832
  λ=908.5427135678392 nm -> Rup=0.34963110512632034, Rdown=0.330747737390753
  λ=912.0603015075377 nm -> Rup=0.3554463038292579, Rdown=0.33577811950607706
  λ=915.5778894472362 nm -> Rup=0.3611329855334457, Rdown=0.3407341502463713
  λ=919.0954773869347 nm -> Rup=0.3666992117349649, Rdown=0.3456182498044832
  λ=922.6130653266332 nm -> Rup=0.3721538583449873, Rdown=0.35043337423319365
  λ=926.1306532663317 nm -> Rup=0.37750598882201003, Rdown=0.35518499125860237
  λ=929.6482412060302 nm -> Rup=0.3827640688807905, Rdown=0.3598782473023106
  λ=933.1658291457287 nm -> Rup=0.38793526211666696, Rdown=0.36451747829315806
  λ=936.6834170854272 nm -> Rup=0.3930250479491709, Rdown=0.3691058647424232
  λ=940.2010050251256 nm -> Rup=0.3980373061349006, Rdown=0.3736448723975206
  λ=943.7185929648241 nm -> Rup=0.40297468366353606, Rdown=0.3781370229450367
  λ=947.2361809045226 nm -> Rup=0.40783918148620696, Rdown=0.38258347048085706
  λ=950.7537688442211 nm -> Rup=0.41263240334945106, Rdown=0.3869848776087645
  λ=954.2713567839196 nm -> Rup=0.4173556797075944, Rdown=0.39134194379990933
  λ=957.7889447236181 nm -> Rup=0.42200999036103687, Rdown=0.3956549056792382
