Simulation Summary - All Geometry/Material Combos
Timestamp: 20250411_153859
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: c30_g2_m10 - Mat_S1
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 2.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'Standard', 'material': 'Air'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}]
RI Overrides: {'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}
Reflectance points (Rup, Rdown):
  λ=782.9145728643216 nm -> Rup=0.47075081725938145, Rdown=0.4596806018357835
  λ=784.4221105527638 nm -> Rup=0.4700734948117728, Rdown=0.4598510302178461
  λ=785.929648241206 nm -> Rup=0.4690128791816521, Rdown=0.45967746385340214
  λ=787.4371859296482 nm -> Rup=0.46754841705377914, Rdown=0.45913834036817147
  λ=788.9447236180905 nm -> Rup=0.4656624215220183, Rdown=0.4582138629718037
  λ=790.4522613065327 nm -> Rup=0.46334128590670337, Rdown=0.45688736132659813
  λ=791.9597989949749 nm -> Rup=0.46057690005829777, Rdown=0.4551467845708118
  λ=793.4673366834171 nm -> Rup=0.4573681991873159, Rdown=0.45298571826471756
  λ=794.9748743718593 nm -> Rup=0.45372280073370674, Rdown=0.4504049126990074
  λ=796.4824120603015 nm -> Rup=0.4496586662264725, Rdown=0.4474143684670079
  λ=797.9899497487437 nm -> Rup=0.4452055684929168, Rdown=0.444034611978367
  λ=799.4974874371859 nm -> Rup=0.44040622577200567, Rdown=0.4402977680636881
  λ=801.0050251256282 nm -> Rup=0.43531687549655973, Rdown=0.43624833159109383
  λ=802.5125628140704 nm -> Rup=0.43000703355509146, Rdown=0.43194453160714286
  λ=804.0201005025126 nm -> Rup=0.4245583388079488, Rdown=0.4274560049986347
  λ=805.5276381909548 nm -> Rup=0.4190622447567676, Rdown=0.42286267345524875
  λ=807.035175879397 nm -> Rup=0.41361659309219806, Rdown=0.4182519556363764
  λ=808.5427135678392 nm -> Rup=0.40832122524988984, Rdown=0.4137148403197123
  λ=810.0502512562814 nm -> Rup=0.4032726934359098, Rdown=0.40934177116055426
  λ=811.5577889447236 nm -> Rup=0.3985589099774067, Rdown=0.4052172535050785
  λ=813.0653266331658 nm -> Rup=0.39425385484177855, Rdown=0.4014150344053517
  λ=814.572864321608 nm -> Rup=0.39041304617973643, Rdown=0.3979936911996143
  λ=816.0804020100503 nm -> Rup=0.3870702386461827, Rdown=0.3949930829251527
  λ=817.5879396984925 nm -> Rup=0.38423551982558524, Rdown=0.3924323699295822
  λ=819.0954773869347 nm -> Rup=0.38189511920449914, Rdown=0.39030919600754566
  λ=820.6030150753769 nm -> Rup=0.38001276055895616, Rdown=0.38860025407784976
  λ=822.1105527638191 nm -> Rup=0.3785322235202919, Rdown=0.3872632312492134
  λ=823.6180904522613 nm -> Rup=0.377380837354579, Rdown=0.3862395840789662
  λ=825.1256281407035 nm -> Rup=0.37647347640133183, Rdown=0.38545785924164305
  λ=826.6331658291457 nm -> Rup=0.3757165824156036, Rdown=0.3848374959068568
