Simulation Summary - All Geometry/Material Combos
Timestamp: 20250415_142104
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 60

---- COMBINATIONS ----

Combo name: c30_g2_m10 - Mat_S1
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 6.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}]
RI Overrides: {'perm_reso': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}, 'perm_metalliclayer': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}, 'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}
Reflectance points (Rup, Rdown):
  λ=300.0 nm -> Rup=0.11074214633903345, Rdown=0.10516569566773053
  λ=303.76884422110555 nm -> Rup=0.11469678620739308, Rdown=0.1059377455280803
  λ=307.53768844221105 nm -> Rup=0.11861614555986123, Rdown=0.10674234496134409
  λ=311.3065326633166 nm -> Rup=0.1223299916528966, Rdown=0.10687754531148981
  λ=315.0753768844221 nm -> Rup=0.12567631769013682, Rdown=0.1057863808164364
  λ=318.84422110552765 nm -> Rup=0.12894510656462477, Rdown=0.10472379325321034
  λ=322.61306532663315 nm -> Rup=0.13213446876809976, Rdown=0.10368909378493037
  λ=326.3819095477387 nm -> Rup=0.13524278699056186, Rdown=0.10268097669217724
  λ=330.1507537688442 nm -> Rup=0.13826897469907376, Rdown=0.10170041123895532
  λ=333.91959798994975 nm -> Rup=0.14124249437597866, Rdown=0.10074722310302062
  λ=337.6884422110553 nm -> Rup=0.14417818440508254, Rdown=0.09981481396017455
  λ=341.4572864321608 nm -> Rup=0.14707666858379778, Rdown=0.09890125493758181
  λ=345.22613065326635 nm -> Rup=0.1499403586032481, Rdown=0.0980051729866474
  λ=348.99497487437185 nm -> Rup=0.15277182079157775, Rdown=0.09712744311105803
  λ=352.7638190954774 nm -> Rup=0.15557379418677308, Rdown=0.09626825317476746
  λ=356.5326633165829 nm -> Rup=0.15781897920092633, Rdown=0.09519872443304513
  λ=360.30150753768845 nm -> Rup=0.15968958645140702, Rdown=0.09401312649871685
  λ=364.070351758794 nm -> Rup=0.16152778820458166, Rdown=0.09286274447189566
  λ=367.8391959798995 nm -> Rup=0.16333636253549746, Rdown=0.09174758236605303
  λ=371.608040201005 nm -> Rup=0.16511831486972514, Rdown=0.09066714258538174
  λ=375.37688442211055 nm -> Rup=0.16687661206324123, Rdown=0.08961986785102477
  λ=379.1457286432161 nm -> Rup=0.1686141787502547, Rdown=0.08860601145638876
  λ=382.9145728643216 nm -> Rup=0.17010304522908484, Rdown=0.08761393215891003
  λ=386.68341708542715 nm -> Rup=0.1711870746667493, Rdown=0.08671434405789505
  λ=390.45226130653265 nm -> Rup=0.17224621929368297, Rdown=0.08596902071475546
  λ=394.2211055276382 nm -> Rup=0.17328567942879206, Rdown=0.08538877409138336
  λ=397.9899497487437 nm -> Rup=0.17431264685785827, Rdown=0.08498451971342989
  λ=401.75879396984925 nm -> Rup=0.17533725314430257, Rdown=0.08476761107457899
  λ=405.5276381909548 nm -> Rup=0.1763744983040993, Rdown=0.08475207355331264
  λ=409.2964824120603 nm -> Rup=0.17744640762620056, Rdown=0.08495021661447402
  λ=413.06532663316585 nm -> Rup=0.1785855845135089, Rdown=0.08537392824375728
  λ=416.83417085427135 nm -> Rup=0.17447199162336519, Rdown=0.08742083072197905
  λ=420.6030150753769 nm -> Rup=0.16945730177897433, Rdown=0.08956925220557242
  λ=424.3718592964824 nm -> Rup=0.1637632807837954, Rdown=0.09171091486526785
  λ=428.14070351758795 nm -> Rup=0.1572935437385125, Rdown=0.09376209423257566
  λ=431.9095477386935 nm -> Rup=0.15012615163467719, Rdown=0.09547709172882535
  λ=435.678391959799 nm -> Rup=0.14289691456850298, Rdown=0.09637566923780598
  λ=439.4472361809045 nm -> Rup=0.13695241463901486, Rdown=0.09592365640131595
  λ=443.21608040201005 nm -> Rup=0.13361146653370595, Rdown=0.09398096604129468
  λ=446.9849246231156 nm -> Rup=0.13305171932475185, Rdown=0.09095560004956726
  λ=450.7537688442211 nm -> Rup=0.13436441663988724, Rdown=0.08738397855916605
  λ=454.5226130653266 nm -> Rup=0.1364024408042163, Rdown=0.08423612135847021
  λ=458.2914572864322 nm -> Rup=0.13818558891283014, Rdown=0.08148596462181874
  λ=462.0603015075377 nm -> Rup=0.1395369123282946, Rdown=0.07898662891965737
  λ=465.8291457286432 nm -> Rup=0.14047373512284747, Rdown=0.07654067472176701
  λ=469.59798994974875 nm -> Rup=0.14128341895373564, Rdown=0.07410721038455093
  λ=473.3668341708543 nm -> Rup=0.14221430228668233, Rdown=0.07182283709625026
  λ=477.1356783919598 nm -> Rup=0.14328014907829206, Rdown=0.06980227740646297
  λ=480.9045226130653 nm -> Rup=0.14437972268880941, Rdown=0.06806014965287104
  λ=484.67336683417085 nm -> Rup=0.14542115137541697, Rdown=0.06655807965227942
  λ=488.4422110552764 nm -> Rup=0.1463512460445016, Rdown=0.0652462519620496
  λ=492.2110552763819 nm -> Rup=0.1471443427744696, Rdown=0.064079395134681
  λ=495.97989949748745 nm -> Rup=0.14777540013575816, Rdown=0.06301271261900268
  λ=499.748743718593 nm -> Rup=0.1471565077783004, Rdown=0.06159281881224575
  λ=503.5175879396985 nm -> Rup=0.14644412795786468, Rdown=0.060198270961102064
  λ=507.286432160804 nm -> Rup=0.14564939266603424, Rdown=0.05881753848231123
  λ=511.05527638190955 nm -> Rup=0.14478823077328493, Rdown=0.05744696510577713
  λ=514.8241206030151 nm -> Rup=0.14387883077548133, Rdown=0.05609192440051759
  λ=518.5929648241206 nm -> Rup=0.1429356110514827, Rdown=0.05476487962135322
  λ=522.3618090452261 nm -> Rup=0.1419668621587159, Rdown=0.05347505213351077
  λ=526.1306532663317 nm -> Rup=0.14097578699207572, Rdown=0.0522262658611737
  λ=529.8994974874372 nm -> Rup=0.13996366871008967, Rdown=0.05101805325815322
  λ=533.6683417085427 nm -> Rup=0.13893131683321777, Rdown=0.04984815153994215
  λ=537.4371859296482 nm -> Rup=0.13788049798439916, Rdown=0.04871378607842805
  λ=541.2060301507538 nm -> Rup=0.13681375820264827, Rdown=0.04761253665174699
  λ=544.9748743718593 nm -> Rup=0.13573395451239337, Rdown=0.04654342606750704
  λ=548.7437185929648 nm -> Rup=0.13464385660401554, Rdown=0.045506013430311056
  λ=552.5125628140704 nm -> Rup=0.13357076179933758, Rdown=0.04466670790295085
  λ=556.2814070351759 nm -> Rup=0.13257770234846397, Rdown=0.044163268158657565
  λ=560.0502512562814 nm -> Rup=0.13164858663961065, Rdown=0.04375867942693051
  λ=563.819095477387 nm -> Rup=0.13078460593036262, Rdown=0.04345701101816755
  λ=567.5879396984924 nm -> Rup=0.12998680287328238, Rdown=0.04326176780909747
  λ=571.356783919598 nm -> Rup=0.1292563853462292, Rdown=0.043177283050812795
  λ=575.1256281407035 nm -> Rup=0.12859399908654687, Rdown=0.043207400462304694
  λ=578.894472361809 nm -> Rup=0.12800023865481958, Rdown=0.04335549056683738
  λ=582.6633165829146 nm -> Rup=0.12747649301848468, Rdown=0.043625414921061985
  λ=586.4321608040201 nm -> Rup=0.12702408788483305, Rdown=0.04402106544200083
  λ=590.2010050251256 nm -> Rup=0.1266438476827567, Rdown=0.04454587436223723
  λ=593.9698492462312 nm -> Rup=0.1263379198791714, Rdown=0.045204198007381596
  λ=597.7386934673367 nm -> Rup=0.12610970984501463, Rdown=0.04600088955630812
  λ=601.5075376884422 nm -> Rup=0.12596090599471668, Rdown=0.046941208350570716
  λ=605.2763819095478 nm -> Rup=0.12589203621605805, Rdown=0.048029514816025146
  λ=609.0452261306532 nm -> Rup=0.12590557992859405, Rdown=0.049269711357256954
  λ=612.8140703517588 nm -> Rup=0.12600544788225362, Rdown=0.050668265325148384
  λ=616.5829145728644 nm -> Rup=0.12619520718356295, Rdown=0.05223148232746312
