Simulation Summary - All Geometry/Material Combos
Timestamp: 20250319_132712
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 100

---- COMBINATIONS ----

Combo name: Geom_S2 - S2
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 3.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Custom', 'expression': '1.50**2'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'Standard', 'material': 'Al'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=618.5929648241206 nm -> Rup=0.6291315314908493, Rdown=0.6049325492593579
  λ=621.356783919598 nm -> Rup=0.6677653188592011, Rdown=0.7246104338723294
  λ=624.1206030150754 nm -> Rup=0.7054614821435465, Rdown=0.863077751362544
  λ=626.8844221105528 nm -> Rup=0.7473455733113533, Rdown=1.0389748460733843
  λ=629.6482412060302 nm -> Rup=0.8055217023367081, Rdown=1.2890047764395056
  λ=632.4120603015076 nm -> Rup=0.9303540982528016, Rdown=1.7028924857262806
  λ=635.1758793969849 nm -> Rup=1.5221656208635115, Rdown=2.774052432361533
  λ=637.9396984924623 nm -> Rup=4.799538128657892, Rdown=7.55496360244955
  λ=640.7035175879397 nm -> Rup=0.19342668314857586, Rdown=0.08883295188221191
  λ=643.4673366834171 nm -> Rup=0.32369591841233797, Rdown=0.1527972723723365
  λ=646.2311557788945 nm -> Rup=0.40196368314106334, Rdown=0.27831661102053473
  λ=648.9949748743719 nm -> Rup=0.4364468971660505, Rdown=0.389010751125757
  λ=651.7587939698492 nm -> Rup=0.4443149371369672, Rdown=0.4830864577037124
  λ=654.5226130653266 nm -> Rup=0.4325781097580127, Rdown=0.5642074671985675
  λ=657.286432160804 nm -> Rup=0.40289256631689574, Rdown=0.6350967193240171
  λ=660.0502512562814 nm -> Rup=0.35345939978906926, Rdown=0.6962135137362494
  λ=662.8140703517588 nm -> Rup=0.27948067217716177, Rdown=0.7435233788658889
  λ=665.5778894472362 nm -> Rup=0.17566644701893872, Rdown=0.7605143809296917
  λ=668.3417085427136 nm -> Rup=0.0660350690959948, Rdown=0.6890846768010189
  λ=671.105527638191 nm -> Rup=0.286884234030113, Rdown=0.37165209558730916
  λ=673.8693467336684 nm -> Rup=2.560515344788679, Rdown=0.45616268954592415
  λ=676.6331658291458 nm -> Rup=5.9312978353716375, Rdown=4.308637932588913
  λ=679.3969849246231 nm -> Rup=0.4774142782428088, Rdown=1.0985564648106252
  λ=682.1608040201005 nm -> Rup=0.1476752837594871, Rdown=0.050585027483431855
  λ=684.9246231155779 nm -> Rup=0.2720572933393844, Rdown=0.14109698492953893
  λ=687.6884422110553 nm -> Rup=0.3260341160450383, Rdown=0.25308426679513857
  λ=690.4522613065327 nm -> Rup=0.3515659755394415, Rdown=0.34638602820708686
  λ=693.2160804020101 nm -> Rup=0.3594644994870554, Rdown=0.41998924667596704
  λ=695.9798994974874 nm -> Rup=0.3420310390798416, Rdown=0.4529486948015672
  λ=698.7437185929648 nm -> Rup=0.33228260752643257, Rdown=0.4315988379722427
  λ=701.5075376884422 nm -> Rup=0.45441002430841027, Rdown=0.5453037696859543
  λ=704.2713567839196 nm -> Rup=0.6903658908349346, Rdown=0.8292146656630579
  λ=707.035175879397 nm -> Rup=1.9099320608541481, Rdown=2.108643789342962
  λ=709.7989949748744 nm -> Rup=0.7686168274393694, Rdown=0.7452129927790188
  λ=712.5628140703518 nm -> Rup=0.8246734170757258, Rdown=0.8665296623489757
  λ=715.3266331658292 nm -> Rup=1.017342153248214, Rdown=1.0782871536258483
  λ=718.0904522613066 nm -> Rup=0.9930930717929874, Rdown=1.0350097885293479
  λ=720.854271356784 nm -> Rup=0.9254924183847815, Rdown=0.9544862856262655
  λ=723.6180904522613 nm -> Rup=0.9674419026291877, Rdown=1.00215058116256
  λ=726.3819095477387 nm -> Rup=0.9966040234578435, Rdown=1.0320211870886715
  λ=729.1457286432161 nm -> Rup=0.9522344125794927, Rdown=0.9753819433189741
  λ=731.9095477386935 nm -> Rup=0.969800494397778, Rdown=0.9951517460663114
  λ=734.6733668341708 nm -> Rup=0.9842672239095911, Rdown=1.01039697424875
  λ=737.4371859296482 nm -> Rup=0.9681249072797485, Rdown=0.9880744766227946
  λ=740.2010050251256 nm -> Rup=0.9757006439376809, Rdown=0.9962296392205757
  λ=742.964824120603 nm -> Rup=0.9829338817715516, Rdown=1.0036823069487257
  λ=745.7286432160804 nm -> Rup=1.0162934799426504, Rdown=1.0450379197202992
  λ=748.4924623115578 nm -> Rup=0.9803916100547173, Rdown=0.9977491750020501
  λ=751.2562814070352 nm -> Rup=0.9842352907487258, Rdown=1.0014730890096695
  λ=754.0201005025126 nm -> Rup=0.9861006484085546, Rdown=1.0026832987494052
  λ=756.78391959799 nm -> Rup=0.9837254485695207, Rdown=0.9987030580318645
  λ=759.5477386934674 nm -> Rup=0.9859696830904148, Rdown=1.0006928757108895
  λ=762.3115577889448 nm -> Rup=0.9872694569651755, Rdown=1.0014795057163821
  λ=765.0753768844222 nm -> Rup=0.9861278286174668, Rdown=0.9992175567550267
  λ=767.8391959798995 nm -> Rup=0.9875786263659129, Rdown=1.0003856540677816
  λ=770.6030150753769 nm -> Rup=0.9885262142204532, Rdown=1.0009153043886783
  λ=773.3668341708543 nm -> Rup=0.9879267782711837, Rdown=0.9994822140792219
  λ=776.1306532663317 nm -> Rup=0.9889554115660855, Rdown=1.0002470687855487
  λ=778.894472361809 nm -> Rup=0.9896882052596313, Rdown=1.000639310915385
  λ=781.6582914572864 nm -> Rup=0.989318508223859, Rdown=0.999611166057228
  λ=784.4221105527638 nm -> Rup=0.9901071636943781, Rdown=1.0001731559455034
  λ=787.1859296482412 nm -> Rup=0.9907113153397608, Rdown=1.000504144507638
  λ=789.9497487437186 nm -> Rup=0.9904194266653795, Rdown=0.9996604076405371
  λ=792.713567839196 nm -> Rup=0.9910660132315254, Rdown=1.0001221242909246
  λ=795.4773869346734 nm -> Rup=0.9916009079053499, Rdown=1.0004452182491437
  λ=798.2412060301508 nm -> Rup=0.9913007136080617, Rdown=0.9996518797009193
  λ=801.0050251256282 nm -> Rup=0.9918607092558094, Rdown=1.000068744631442
  λ=803.7688442211056 nm -> Rup=0.9923731696006625, Rdown=1.0004306150620683
  λ=806.532663316583 nm -> Rup=0.9920020183352156, Rdown=0.9995869629446408
  λ=809.2964824120603 nm -> Rup=0.9925031554790434, Rdown=0.9999840245922146
  λ=812.0603015075377 nm -> Rup=0.9930367014282571, Rdown=1.0004342333407623
  λ=814.8241206030151 nm -> Rup=0.9925436058169, Rdown=0.9994550369482186
  λ=817.5879396984925 nm -> Rup=0.992983683619977, Rdown=0.9998190912741035
  λ=820.3517587939698 nm -> Rup=0.9935787678192556, Rdown=1.0004073969213374
  λ=823.1155778894472 nm -> Rup=0.9935026326981442, Rdown=1.000037862206709
  λ=825.8793969849246 nm -> Rup=0.9932676375871689, Rdown=0.999492054794554
