  λ=690.4522613065326 nm -> Rup=0.04425410837367646, Rdown=0.05752880032091399
  λ=692.4623115577889 nm -> Rup=0.04762065675183152, Rdown=0.059720634985282864
  λ=694.4723618090452 nm -> Rup=0.05109934160024127, Rdown=0.06210791991024645
  λ=696.4824120603015 nm -> Rup=0.05465090410143761, Rdown=0.0646472543116016
  λ=698.4924623115578 nm -> Rup=0.05823738065542374, Rdown=0.06729535723432888
  λ=700.5025125628141 nm -> Rup=0.06180720122190564, Rdown=0.06999373891131486
  λ=702.5125628140704 nm -> Rup=0.06536285766637667, Rdown=0.07273518565643648
  λ=704.5226130653266 nm -> Rup=0.06889059039422908, Rdown=0.07549645736478615
  λ=706.5326633165829 nm -> Rup=0.07238617790296202, Rdown=0.07826236877173948
  λ=708.5427135678392 nm -> Rup=0.07585334095816665, Rdown=0.08102566300835667
  λ=710.5527638190955 nm -> Rup=0.07928042103421534, Rdown=0.08376393748345176
  λ=712.5628140703518 nm -> Rup=0.08267972690973428, Rdown=0.08648064830054553
  λ=714.572864321608 nm -> Rup=0.08609361447042103, Rdown=0.08921329879816466
  λ=716.5829145728643 nm -> Rup=0.08953910086244261, Rdown=0.09197670211118507
  λ=718.5929648241206 nm -> Rup=0.09302731401054794, Rdown=0.09478370975520402
  λ=720.6030150753769 nm -> Rup=0.09656651042144886, Rdown=0.0976447815031093
  λ=722.6130653266332 nm -> Rup=0.10012817292230612, Rdown=0.10053318401004112
  λ=724.6231155778894 nm -> Rup=0.10372564135862486, Rdown=0.10346765548122197
  λ=726.6331658291457 nm -> Rup=0.10736360959195304, Rdown=0.10645788493892451
  λ=728.643216080402 nm -> Rup=0.11103327439588187, Rdown=0.1094985336266053
  λ=730.6532663316583 nm -> Rup=0.11472518314957446, Rdown=0.11258270407299584
  λ=732.6633165829146 nm -> Rup=0.11842783101192784, Rdown=0.11570143912640447
  λ=734.6733668341708 nm -> Rup=0.12209484629167976, Rdown=0.11880513655924921
  λ=736.6834170854271 nm -> Rup=0.12575272572827864, Rdown=0.12192272022627301
  λ=738.6934673366834 nm -> Rup=0.12940135395284483, Rdown=0.12505428309071845
  λ=740.7035175879397 nm -> Rup=0.13303599046003292, Rdown=0.12819449493263102
  λ=742.713567839196 nm -> Rup=0.13665290012079717, Rdown=0.13133881220762375
  λ=744.7236180904522 nm -> Rup=0.14024921219925285, Rdown=0.13448342180578912
  λ=746.7336683417085 nm -> Rup=0.14378411957485898, Rdown=0.1375826924945433
  λ=748.7437185929648 nm -> Rup=0.1472906139450354, Rdown=0.14067191202775317
  λ=750.7537688442211 nm -> Rup=0.1507713017976853, Rdown=0.14375284816629127
  λ=752.7638190954774 nm -> Rup=0.15422549319315726, Rdown=0.14682385253907593
  λ=754.7738693467336 nm -> Rup=0.15765277239048617, Rdown=0.1498836009631884
  λ=756.78391959799 nm -> Rup=0.16105292917479708, Rdown=0.15293103191773155
  λ=758.7939698492462 nm -> Rup=0.16438574973855521, Rdown=0.15592112643402606
  λ=760.8040201005025 nm -> Rup=0.1676853604636265, Rdown=0.1588906457946146
  λ=762.8140703517588 nm -> Rup=0.1709559431704683, Rdown=0.16184392745571138
  λ=764.824120603015 nm -> Rup=0.17419949081268238, Rdown=0.16478190196060122
  λ=766.8341708542714 nm -> Rup=0.17741616454339706, Rdown=0.16770418402112788
  λ=768.8442211055276 nm -> Rup=0.1806061042934643, Rdown=0.17061041889891573
  λ=770.8542713567839 nm -> Rup=0.18374243977631574, Rdown=0.17346989811117156
  λ=772.8643216080402 nm -> Rup=0.18684247962748907, Rdown=0.1763015762153692
  λ=774.8743718592965 nm -> Rup=0.18991572516132385, Rdown=0.17911577545187896
  λ=776.8844221105528 nm -> Rup=0.19296131405755676, Rdown=0.18191149024262043
  λ=778.894472361809 nm -> Rup=0.19597948127770445, Rdown=0.1846885417288582
  λ=780.9045226130653 nm -> Rup=0.1989702278671171, Rdown=0.1874465751417397
  λ=782.9145728643216 nm -> Rup=0.20191440898056465, Rdown=0.19016395771874273
  λ=784.9246231155779 nm -> Rup=0.20481139371441526, Rdown=0.1928397028646922
  λ=786.9346733668342 nm -> Rup=0.20767927411671325, Rdown=0.19549382037354798
  λ=788.9447236180904 nm -> Rup=0.21051743484144236, Rdown=0.19812538127240822
  λ=790.9547738693467 nm -> Rup=0.21332529353149435, Rdown=0.200733435883101
  λ=792.964824120603 nm -> Rup=0.21610170358065692, Rdown=0.20331653710930836
  λ=794.9748743718593 nm -> Rup=0.21884235258376059, Rdown=0.20586899283576995
  λ=796.9849246231156 nm -> Rup=0.22152488226602263, Rdown=0.20836494836663413
  λ=798.9949748743718 nm -> Rup=0.22417846856723933, Rdown=0.21083614220157554
  λ=801.0050251256281 nm -> Rup=0.22680514430568718, Rdown=0.21328369755981816
  λ=803.0150753768844 nm -> Rup=0.2294078655946385, Rdown=0.21570959483338867
  λ=805.0251256281407 nm -> Rup=0.2319904601111372, Rdown=0.21811669008684928
  λ=807.035175879397 nm -> Rup=0.23455722408625435, Rdown=0.22050844122774205
  λ=809.0452261306532 nm -> Rup=0.2370896854793974, Rdown=0.22286312225875027
  λ=811.0552763819095 nm -> Rup=0.23960647704568638, Rdown=0.22520031686829747
  λ=813.0653266331658 nm -> Rup=0.2421208709944395, Rdown=0.22753425036939684
  λ=815.0753768844221 nm -> Rup=0.24463579266747637, Rdown=0.22986799830439006
  λ=817.0854271356784 nm -> Rup=0.24715298312836279, Rdown=0.23220369140101313
  λ=819.0954773869346 nm -> Rup=0.24967300026443337, Rdown=0.234542439035957
  λ=821.105527638191 nm -> Rup=0.2521901281650266, Rdown=0.2368785651245255
  λ=823.1155778894472 nm -> Rup=0.254680068742244, Rdown=0.2391858396947089
  λ=825.1256281407035 nm -> Rup=0.25716913387358564, Rdown=0.24149435632459357
  λ=827.1356783919598 nm -> Rup=0.25965568606673367, Rdown=0.24380285145378755
  λ=829.145728643216 nm -> Rup=0.26213782544130526, Rdown=0.24610979630044494
  λ=831.1557788944724 nm -> Rup=0.26461378680632425, Rdown=0.2484136906594075
  λ=833.1658291457286 nm -> Rup=0.2670820197120397, Rdown=0.2507131548066498
  λ=835.1758793969849 nm -> Rup=0.269529078804678, Rdown=0.252993213767326
  λ=837.1859296482412 nm -> Rup=0.2719536778539374, Rdown=0.2552525607147307
  λ=839.1959798994975 nm -> Rup=0.27436725949730195, Rdown=0.2575042927532324
  λ=841.2060301507538 nm -> Rup=0.27676863964849074, Rdown=0.2597473054980579
  λ=843.21608040201 nm -> Rup=0.2791580723351348, Rdown=0.26198161848874896
  λ=845.2261306532663 nm -> Rup=0.2815352655754007, Rdown=0.2642068554654468
  λ=847.2361809045226 nm -> Rup=0.2839000395373137, Rdown=0.26642274290743045
  λ=849.2462311557789 nm -> Rup=0.286231613866155, Rdown=0.26860622055487954
  λ=851.2562814070352 nm -> Rup=0.28854299941017186, Rdown=0.27077155790879903
  λ=853.2663316582914 nm -> Rup=0.2908419053881341, Rdown=0.2729271778759529
  λ=855.2763819095477 nm -> Rup=0.2931284040790898, Rdown=0.2750730645307743
  λ=857.286432160804 nm -> Rup=0.2954021216608866, Rdown=0.2772088685868106
  λ=859.2964824120603 nm -> Rup=0.2976635814579546, Rdown=0.27933493995158293
  λ=861.3065326633166 nm -> Rup=0.29991300101298185, Rdown=0.2814514046130582
  λ=863.3165829145728 nm -> Rup=0.302130078238107, Rdown=0.2835355293326089
  λ=865.3266331658291 nm -> Rup=0.3043319240407675, Rdown=0.2856063070809057
  λ=867.3366834170854 nm -> Rup=0.30652218038332507, Rdown=0.2876677294221793
  λ=869.3467336683417 nm -> Rup=0.30870098839717114, Rdown=0.28971988631438983
  λ=871.356783919598 nm -> Rup=0.3108684867614827, Rdown=0.2917628727352973
  λ=873.3668341708542 nm -> Rup=0.3130246632458865, Rdown=0.2937966730419049
  λ=875.3768844221106 nm -> Rup=0.31516957513492433, Rdown=0.2958213268536162
  λ=877.3869346733668 nm -> Rup=0.3172815520550995, Rdown=0.29781290486775286
  λ=879.3969849246231 nm -> Rup=0.31937929373211893, Rdown=0.2997918996293598
  λ=881.4070351758794 nm -> Rup=0.321466364434192, Rdown=0.3017621955844511
  λ=883.4170854271356 nm -> Rup=0.3235428543789755, Rdown=0.30372386751643415
  λ=885.427135678392 nm -> Rup=0.32560884262523637, Rdown=0.30567698389094733
  λ=887.4371859296482 nm -> Rup=0.3276643965432675, Rdown=0.30762160684089396
  λ=889.4472361809045 nm -> Rup=0.32970956943688656, Rdown=0.3095577882319783
  λ=891.4572864321608 nm -> Rup=0.33172781407269114, Rdown=0.31146734099597573
  λ=893.467336683417 nm -> Rup=0.33373057207887463, Rdown=0.3133628222864533
  λ=895.4773869346734 nm -> Rup=0.3357230844413051, Rdown=0.31525000688411653
  λ=897.4874371859296 nm -> Rup=0.3377053415982716, Rdown=0.31712890643543773
  λ=899.4974874371859 nm -> Rup=0.3396773119262213, Rdown=0.3189995145520082
  λ=901.5075376884422 nm -> Rup=0.34163894136348194, Rdown=0.32086180884385945
  λ=903.5175879396984 nm -> Rup=0.3435901516595966, Rdown=0.32271575027890437
  λ=905.5276381909548 nm -> Rup=0.3455218571431437, Rdown=0.3245511328604356
  λ=907.537688442211 nm -> Rup=0.34743515693861216, Rdown=0.32636925921226145
  λ=909.5477386934673 nm -> Rup=0.3493375160178389, Rdown=0.32817872313142193
  λ=911.5577889447236 nm -> Rup=0.35122886203769993, Rdown=0.32997945547879093
