  λ=696.4824120603015 nm -> Rup=0.3718006036604853, Rdown=0.2850328244902921
  λ=698.4924623115578 nm -> Rup=0.3732799977223702, Rdown=0.2863057961154105
  λ=700.5025125628141 nm -> Rup=0.37436403248996586, Rdown=0.28723014869025576
  λ=702.5125628140704 nm -> Rup=0.37501420385485296, Rdown=0.2878119510808757
  λ=704.5226130653266 nm -> Rup=0.37507224125509697, Rdown=0.2879294535175343
  λ=706.5326633165829 nm -> Rup=0.3743674050765336, Rdown=0.28744434099813376
  λ=708.5427135678392 nm -> Rup=0.3727244734924301, Rdown=0.2862068385356293
  λ=710.5527638190955 nm -> Rup=0.36995420311275473, Rdown=0.28408613672030736
  λ=712.5628140703518 nm -> Rup=0.3659279170093902, Rdown=0.2809379342892875
  λ=714.572864321608 nm -> Rup=0.3605851042007819, Rdown=0.27675379887680607
  λ=716.5829145728643 nm -> Rup=0.35388229447443886, Rdown=0.2715171632920511
  λ=718.5929648241206 nm -> Rup=0.34584798323573945, Rdown=0.2652243347414235
  λ=720.6030150753769 nm -> Rup=0.33657358337535237, Rdown=0.2579658156586352
  λ=722.6130653266332 nm -> Rup=0.3262392367857886, Rdown=0.24986795582592078
  λ=724.6231155778894 nm -> Rup=0.31509274934509474, Rdown=0.24114094737892855
  λ=726.6331658291457 nm -> Rup=0.30340759634582765, Rdown=0.23202695495234676
  λ=728.643216080402 nm -> Rup=0.2914720712534942, Rdown=0.2227733814195542
  λ=730.6532663316583 nm -> Rup=0.2795478388205354, Rdown=0.21356575312821388
  λ=732.6633165829146 nm -> Rup=0.2678448219707347, Rdown=0.20460678225067572
  λ=734.6733668341708 nm -> Rup=0.2565407766045015, Rdown=0.19599465219073073
  λ=736.6834170854271 nm -> Rup=0.2455929897626564, Rdown=0.18773529370347322
  λ=738.6934673366834 nm -> Rup=0.23491833729547704, Rdown=0.17975784581754933
  λ=740.7035175879397 nm -> Rup=0.2243809771860408, Rdown=0.1719349421961238
  λ=742.713567839196 nm -> Rup=0.21382718274200938, Rdown=0.1641420671484091
  λ=744.7236180904522 nm -> Rup=0.20310909205395652, Rdown=0.15623687429868302
  λ=746.7336683417085 nm -> Rup=0.19223378443920722, Rdown=0.14819860664073614
  λ=748.7437185929648 nm -> Rup=0.18111155753126637, Rdown=0.13993307952075315
  λ=750.7537688442211 nm -> Rup=0.16980042423100625, Rdown=0.13147760912717932
  λ=752.7638190954774 nm -> Rup=0.1584477508702814, Rdown=0.12292590005467649
  λ=754.7738693467336 nm -> Rup=0.1472567084867692, Rdown=0.11442115523156134
  λ=756.78391959799 nm -> Rup=0.1364638807763202, Rdown=0.1061437564534659
  λ=758.7939698492462 nm -> Rup=0.12638560604774837, Rdown=0.09833007706742522
  λ=760.8040201005025 nm -> Rup=0.11716435926397523, Rdown=0.09109170478849156
  λ=762.8140703517588 nm -> Rup=0.1089738408170713, Rdown=0.08457736235726675
  λ=764.824120603015 nm -> Rup=0.10192258289741865, Rdown=0.07888038698255076
  λ=766.8341708542714 nm -> Rup=0.09608599763991237, Rdown=0.07406511126446867
  λ=768.8442211055276 nm -> Rup=0.09148129790684167, Rdown=0.07015598406972111
  λ=770.8542713567839 nm -> Rup=0.08811130988422401, Rdown=0.06715661746001242
  λ=772.8643216080402 nm -> Rup=0.08589217826992677, Rdown=0.06502542407859294
  λ=774.8743718592965 nm -> Rup=0.08473569362793204, Rdown=0.06369366480475179
  λ=776.8844221105528 nm -> Rup=0.08454539884043981, Rdown=0.06309879546399329
  λ=778.894472361809 nm -> Rup=0.085214947804613, Rdown=0.06316456994283208
  λ=780.9045226130653 nm -> Rup=0.08663431400996532, Rdown=0.06381139804078151
  λ=782.9145728643216 nm -> Rup=0.08869957163031561, Rdown=0.06495086304197406
  λ=784.9246231155779 nm -> Rup=0.0912966846507629, Rdown=0.06651109929981894
  λ=786.9346733668342 nm -> Rup=0.09432928234116385, Rdown=0.06841765747471765
  λ=788.9447236180904 nm -> Rup=0.0977045745740565, Rdown=0.07059920750917179
  λ=790.9547738693467 nm -> Rup=0.10133807965478904, Rdown=0.0729928559554591
  λ=792.964824120603 nm -> Rup=0.10514669540233894, Rdown=0.07553402594340702
  λ=794.9748743718593 nm -> Rup=0.10905699494620869, Rdown=0.07816928912748067
  λ=796.9849246231156 nm -> Rup=0.11299058791117901, Rdown=0.08083148808078196
  λ=798.9949748743718 nm -> Rup=0.116900196842913, Rdown=0.08349492878390581
  λ=801.0050251256281 nm -> Rup=0.12073839135513229, Rdown=0.08611187525243819
  λ=803.0150753768844 nm -> Rup=0.12446763338245116, Rdown=0.0886495609248781
  λ=805.0251256281407 nm -> Rup=0.12805841610123267, Rdown=0.09109904166863562
  λ=807.035175879397 nm -> Rup=0.13150229007559402, Rdown=0.09344111672379103
  λ=809.0452261306532 nm -> Rup=0.13478898415564625, Rdown=0.0956576462026381
  λ=811.0552763819095 nm -> Rup=0.13794843222398892, Rdown=0.09778480450405815
  λ=813.0653266331658 nm -> Rup=0.1410256569437642, Rdown=0.09983823098182834
  λ=815.0753768844221 nm -> Rup=0.14406649992221912, Rdown=0.10185248919897687
  λ=817.0854271356784 nm -> Rup=0.14711999048170984, Rdown=0.10386747146885077
  λ=819.0954773869346 nm -> Rup=0.15023542976409102, Rdown=0.10591335112809179
  λ=821.105527638191 nm -> Rup=0.15344720585769478, Rdown=0.10802708505352057
  λ=823.1155778894472 nm -> Rup=0.1567673584679824, Rdown=0.11019948302075734
  λ=825.1256281407035 nm -> Rup=0.16023765301474832, Rdown=0.11246686046991503
  λ=827.1356783919598 nm -> Rup=0.16386083490036935, Rdown=0.11484798099143088
  λ=829.145728643216 nm -> Rup=0.16763374331404943, Rdown=0.1173326800305938
  λ=831.1557788944724 nm -> Rup=0.17154510688938462, Rdown=0.11990651948783346
  λ=833.1658291457286 nm -> Rup=0.17557593914972305, Rdown=0.1225652806157769
  λ=835.1758793969849 nm -> Rup=0.17969364636816554, Rdown=0.12528657249767214
  λ=837.1859296482412 nm -> Rup=0.18387793553833204, Rdown=0.12804910834568597
  λ=839.1959798994975 nm -> Rup=0.18811991136551823, Rdown=0.1308540176829771
  λ=841.2060301507538 nm -> Rup=0.1924001683674213, Rdown=0.13368187247951435
  λ=843.21608040201 nm -> Rup=0.19670407706125956, Rdown=0.1365245225523323
  λ=845.2261306532663 nm -> Rup=0.20101717752431197, Rdown=0.13937522957552972
  λ=847.2361809045226 nm -> Rup=0.2053294049990239, Rdown=0.14221622856209873
  λ=849.2462311557789 nm -> Rup=0.20960548374417098, Rdown=0.1450365183445579
  λ=851.2562814070352 nm -> Rup=0.213854567615261, Rdown=0.1478248930282234
  λ=853.2663316582914 nm -> Rup=0.21807643511592698, Rdown=0.15059419793225018
  λ=855.2763819095477 nm -> Rup=0.22226593548553342, Rdown=0.15334139001774916
  λ=857.286432160804 nm -> Rup=0.2264194233418563, Rdown=0.15604802630262044
  λ=859.2964824120603 nm -> Rup=0.23053172905491684, Rdown=0.1587311655820978
  λ=861.3065326633166 nm -> Rup=0.23460139354919005, Rdown=0.16138491295073348
  λ=863.3165829145728 nm -> Rup=0.2386077008288834, Rdown=0.16396969158226626
  λ=865.3266331658291 nm -> Rup=0.2425617600206498, Rdown=0.16652914011214895
  λ=867.3366834170854 nm -> Rup=0.2464686519067341, Rdown=0.16905091437071543
  λ=869.3467336683417 nm -> Rup=0.25032649354259945, Rdown=0.17153702530857343
  λ=871.356783919598 nm -> Rup=0.25413503403333537, Rdown=0.1739823372534718
  λ=873.3668341708542 nm -> Rup=0.2578930882696271, Rdown=0.17638195103455123
  λ=875.3768844221106 nm -> Rup=0.26159575234035165, Rdown=0.17874975097027843
