Simulation Summary - All Geometry/Material Combos
Timestamp: 20250411_115039
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: test - test
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.5, 'thick_func': 1.0, 'thick_diel': 1.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 2.0, 'thick_accroche': 1.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'None'}}, {'key': 'perm_diel', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'None'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'None'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=610.3015075376884 nm -> Rup=0.00012877841357239155, Rdown=0.00012877841357239052
  λ=613.0653266331658 nm -> Rup=0.00012762040295315305, Rdown=0.0001276204029531527
  λ=615.8291457286432 nm -> Rup=0.0001264779399546367, Rdown=0.0001264779399546362
  λ=618.5929648241206 nm -> Rup=0.0001253507475293603, Rdown=0.00012535074752935974
  λ=621.356783919598 nm -> Rup=0.00012423855477261038, Rdown=0.00012423855477260872
  λ=624.1206030150754 nm -> Rup=0.00012314109675974172, Rdown=0.00012314109675974408
  λ=626.8844221105528 nm -> Rup=0.00012205811438849831, Rdown=0.00012205811438849712
  λ=629.6482412060302 nm -> Rup=0.00012098935422613175, Rdown=0.00012098935422613362
  λ=632.4120603015076 nm -> Rup=0.00011993456836122707, Rdown=0.00011993456836122277
  λ=635.1758793969849 nm -> Rup=0.00011889351425997288, Rdown=0.00011889351425997345
  λ=637.9396984924623 nm -> Rup=0.00011786595462683877, Rdown=0.00011786595462683496
  λ=640.7035175879397 nm -> Rup=0.00011685165726937762, Rdown=0.00011685165726937785
  λ=643.4673366834171 nm -> Rup=0.00011585039496714396, Rdown=0.00011585039496714537
