Simulation Summary - All Geometry/Material Combos
Timestamp: 20250415_150101
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 60

---- COMBINATIONS ----

Combo name: c70_g2_m50 - Mat_S1
Geometry:
{'thick_super': 200.0, 'thick_reso': 70.0, 'width_reso': 70.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 2.0, 'thick_metalliclayer': 50.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}]
RI Overrides: {'perm_reso': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}, 'perm_metalliclayer': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}, 'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}
Reflectance points (Rup, Rdown):
  λ=300.0 nm -> Rup=0.1699784677951962, Rdown=0.2533697075743
  λ=303.76884422110555 nm -> Rup=0.16481541235974245, Rdown=0.25649405802705366
  λ=307.53768844221105 nm -> Rup=0.15970363877447188, Rdown=0.25962875457572365
  λ=311.3065326633166 nm -> Rup=0.15341931373348144, Rdown=0.2622208373424319
  λ=315.0753768844221 nm -> Rup=0.14505651844885215, Rdown=0.2638352241023831
  λ=318.84422110552765 nm -> Rup=0.13687014930305458, Rdown=0.26545292119664
  λ=322.61306532663315 nm -> Rup=0.12887123336464323, Rdown=0.2670735241996149
  λ=326.3819095477387 nm -> Rup=0.12107002922894199, Rdown=0.26869471785305316
  λ=330.1507537688442 nm -> Rup=0.11347609866640515, Rdown=0.27032071091905535
  λ=333.91959798994975 nm -> Rup=0.10680400486199254, Rdown=0.27189600642166983
  λ=337.6884422110553 nm -> Rup=0.10029191292426322, Rdown=0.2734592676841446
  λ=341.4572864321608 nm -> Rup=0.0938616667056855, Rdown=0.2750153658320189
  λ=345.22613065326635 nm -> Rup=0.08755251024537634, Rdown=0.2765617972679406
  λ=348.99497487437185 nm -> Rup=0.08140727200198283, Rdown=0.2781023988271557
  λ=352.7638190954774 nm -> Rup=0.07547227501086361, Rdown=0.2796395068432113
  λ=356.5326633165829 nm -> Rup=0.07094668810138723, Rdown=0.2806562321085582
  λ=360.30150753768845 nm -> Rup=0.06753556026512951, Rdown=0.28132702598106574
  λ=364.070351758794 nm -> Rup=0.0645578907049623, Rdown=0.2819854513599454
  λ=367.8391959798995 nm -> Rup=0.062057247915371115, Rdown=0.28263182321978025
  λ=371.608040201005 nm -> Rup=0.06007669501404718, Rdown=0.28326540762086483
  λ=375.37688442211055 nm -> Rup=0.05865855875500783, Rdown=0.2838815955797026
  λ=379.1457286432161 nm -> Rup=0.057844217961432146, Rdown=0.2844806636675452
  λ=382.9145728643216 nm -> Rup=0.059697930464452924, Rdown=0.28511205426764136
  λ=386.68341708542715 nm -> Rup=0.06669166894112574, Rdown=0.28576854332040663
  λ=390.45226130653265 nm -> Rup=0.07617726978630657, Rdown=0.2863513563047095
  λ=394.2211055276382 nm -> Rup=0.08837188467888175, Rdown=0.2868624630812525
  λ=397.9899497487437 nm -> Rup=0.10350641503739146, Rdown=0.28730137066427075
  λ=401.75879396984925 nm -> Rup=0.12183171255540502, Rdown=0.2876661968631819
  λ=405.5276381909548 nm -> Rup=0.1436251574004382, Rdown=0.2879637168824368
  λ=409.2964824120603 nm -> Rup=0.1691970355843333, Rdown=0.28819759432426206
  λ=413.06532663316585 nm -> Rup=0.19889592525195243, Rdown=0.28838005299688296
  λ=416.83417085427135 nm -> Rup=0.22369004143176854, Rdown=0.2898115066810032
  λ=420.6030150753769 nm -> Rup=0.24898605487733635, Rdown=0.291335055259629
  λ=424.3718592964824 nm -> Rup=0.27551072284679057, Rdown=0.29281431196480706
  λ=428.14070351758795 nm -> Rup=0.3040060524888956, Rdown=0.2941580626214399
  λ=431.9095477386935 nm -> Rup=0.3357463187506923, Rdown=0.29525110457802983
  λ=435.678391959799 nm -> Rup=0.37206664391101196, Rdown=0.29598931928204797
  λ=439.4472361809045 nm -> Rup=0.4133010389495897, Rdown=0.2963721795292796
  λ=443.21608040201005 nm -> Rup=0.45803090030251625, Rdown=0.2965590200563535
  λ=446.9849246231156 nm -> Rup=0.5035930310383316, Rdown=0.2968250286762522
  λ=450.7537688442211 nm -> Rup=0.5473007153073713, Rdown=0.2974419662943131
  λ=454.5226130653266 nm -> Rup=0.5420490346702205, Rdown=0.2989923927412639
  λ=458.2914572864322 nm -> Rup=0.5326173381089241, Rdown=0.3008702932464948
  λ=462.0603015075377 nm -> Rup=0.520446476224997, Rdown=0.30304076112709194
  λ=465.8291457286432 nm -> Rup=0.5057170626000764, Rdown=0.3054901427036051
  λ=469.59798994974875 nm -> Rup=0.48860179126297065, Rdown=0.30819517093184917
  λ=473.3668341708543 nm -> Rup=0.4692866262144932, Rdown=0.31113738182270245
  λ=477.1356783919598 nm -> Rup=0.4479847449354895, Rdown=0.3142966615621175
  λ=480.9045226130653 nm -> Rup=0.42494419193634736, Rdown=0.31764947881953604
  λ=484.67336683417085 nm -> Rup=0.40044991252508977, Rdown=0.32117545056650676
  λ=488.4422110552764 nm -> Rup=0.3748207473937451, Rdown=0.324851161043366
  λ=492.2110552763819 nm -> Rup=0.3484020277739188, Rdown=0.3286524700039182
  λ=495.97989949748745 nm -> Rup=0.32160014634211503, Rdown=0.3325696875268779
  λ=499.748743718593 nm -> Rup=0.2989130431975375, Rdown=0.33787659896204175
  λ=503.5175879396985 nm -> Rup=0.2768512679447634, Rdown=0.34332087198153227
  λ=507.286432160804 nm -> Rup=0.2555534256465162, Rdown=0.34888243124925955
  λ=511.05527638190955 nm -> Rup=0.23513517345511234, Rdown=0.35454065314553423
  λ=514.8241206030151 nm -> Rup=0.21568817507444304, Rdown=0.3602724845040286
  λ=518.5929648241206 nm -> Rup=0.19728009868637614, Rdown=0.36606410583530186
  λ=522.3618090452261 nm -> Rup=0.17995569575134554, Rdown=0.371895471719714
  λ=526.1306532663317 nm -> Rup=0.16373856583710508, Rdown=0.37774854906766026
  λ=529.8994974874372 nm -> Rup=0.14863348432573165, Rdown=0.38360960243957876
  λ=533.6683417085427 nm -> Rup=0.1346290062235819, Rdown=0.38946546764178386
  λ=537.4371859296482 nm -> Rup=0.1217002896658466, Rdown=0.3953031791788782
  λ=541.2060301507538 nm -> Rup=0.10981183475697304, Rdown=0.4011092539349067
  λ=544.9748743718593 nm -> Rup=0.09892006119541966, Rdown=0.40687585911127444
  λ=548.7437185929648 nm -> Rup=0.08897566938498613, Rdown=0.4125940132960779
  λ=552.5125628140704 nm -> Rup=0.0812908423724576, Rdown=0.4202052704954117
  λ=556.2814070351759 nm -> Rup=0.0763718050675249, Rdown=0.4307916720597299
  λ=560.0502512562814 nm -> Rup=0.07196647806848164, Rdown=0.4412943787217171
  λ=563.819095477387 nm -> Rup=0.0680547398240766, Rdown=0.4517004002761274
  λ=567.5879396984924 nm -> Rup=0.06462195797847609, Rdown=0.46199571126235217
  λ=571.356783919598 nm -> Rup=0.061658661218166405, Rdown=0.4721742255263447
  λ=575.1256281407035 nm -> Rup=0.0591603063669026, Rdown=0.4822291384062407
  λ=578.894472361809 nm -> Rup=0.05712688669212026, Rdown=0.492155156166518
  λ=582.6633165829146 nm -> Rup=0.05556275262390727, Rdown=0.5019497863337548
  λ=586.4321608040201 nm -> Rup=0.05447617890998351, Rdown=0.5116118312590532
  λ=590.2010050251256 nm -> Rup=0.05387936031204656, Rdown=0.5211394003879194
  λ=593.9698492462312 nm -> Rup=0.05378781228779341, Rdown=0.5305379237215732
  λ=597.7386934673367 nm -> Rup=0.05422066230734098, Rdown=0.5398125389151515
  λ=601.5075376884422 nm -> Rup=0.055199913109019914, Rdown=0.5489724771784598
  λ=605.2763819095478 nm -> Rup=0.05675084105996219, Rdown=0.5580249038556407
  λ=609.0452261306532 nm -> Rup=0.058901702823255686, Rdown=0.5669740734770952
  λ=612.8140703517588 nm -> Rup=0.061683304155547576, Rdown=0.575840602196349
  λ=616.5829145728644 nm -> Rup=0.06513040307708141, Rdown=0.5846390480598217
