Simulation Summary - All Geometry/Material Combos
Timestamp: 20250410_175429
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: Geom_S2_func=1 - Mat_S2_func=1.45**2
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.0, 'thick_func': 1.0, 'thick_diel': 0.0, 'thick_metalliclayer': 10.0, 'thick_accroche': 3.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_accroche', 'material': {'type': 'Standard', 'material': 'Aluminium'}}, {'key': 'perm_sub', 'material': {'type': 'Custom', 'expression': '1.50**2'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=615.8291457286432 nm -> Rup=0.5002069074858865, Rdown=0.4894178304855383
  λ=618.5929648241206 nm -> Rup=0.5009914736940438, Rdown=0.494398312096001
  λ=621.356783919598 nm -> Rup=0.5010170946658007, Rdown=0.49909369798001024
  λ=624.1206030150754 nm -> Rup=0.5001913774433548, Rdown=0.5034444614706038
  λ=626.8844221105528 nm -> Rup=0.49843109154401205, Rdown=0.5073819473292601
  λ=629.6482412060302 nm -> Rup=0.4956764819812475, Rdown=0.5108363533381511
  λ=632.4120603015076 nm -> Rup=0.49190097433163205, Rdown=0.5137484356064799
  λ=635.1758793969849 nm -> Rup=0.4871004106855112, Rdown=0.5160748755946694
  λ=637.9396984924623 nm -> Rup=0.48125777684037635, Rdown=0.5177779216635704
  λ=640.7035175879397 nm -> Rup=0.4743044505358302, Rdown=0.5188022970426992
  λ=643.4673366834171 nm -> Rup=0.46611329920767913, Rdown=0.5190573811443925
  λ=646.2311557788945 nm -> Rup=0.4565409889048628, Rdown=0.5184239417785534
  λ=648.9949748743719 nm -> Rup=0.4454981859968182, Rdown=0.5167873802702353
  λ=651.7587939698492 nm -> Rup=0.433001982357712, Rdown=0.5140781453364581
  λ=654.5226130653266 nm -> Rup=0.4191728533027364, Rdown=0.5102912456953207
  λ=657.286432160804 nm -> Rup=0.40417157315864366, Rdown=0.5054659129866724
  λ=660.0502512562814 nm -> Rup=0.38811451956187026, Rdown=0.49963141283341295
  λ=662.8140703517588 nm -> Rup=0.3710336394414236, Rdown=0.4927545499178107
  λ=665.5778894472362 nm -> Rup=0.35292853694698983, Rdown=0.48473389424603297
  λ=668.3417085427136 nm -> Rup=0.33389394797905686, Rdown=0.47545865546894917
  λ=671.105527638191 nm -> Rup=0.3142478124185744, Rdown=0.4649054425924219
  λ=673.8693467336684 nm -> Rup=0.29458117767319764, Rdown=0.45322121124399706
  λ=676.6331658291458 nm -> Rup=0.2756949020694628, Rdown=0.4407494829118795
  λ=679.3969849246231 nm -> Rup=0.2584418252967959, Rdown=0.42798476572736766
  λ=682.1608040201005 nm -> Rup=0.24353152806283515, Rdown=0.41546934118986195
  λ=684.9246231155779 nm -> Rup=0.2313708520623254, Rdown=0.40366888385740135
  λ=687.6884422110553 nm -> Rup=0.22200373433365647, Rdown=0.39287384001689524
  λ=690.4522613065327 nm -> Rup=0.21517733514030257, Rdown=0.3831665587246524
  λ=693.2160804020101 nm -> Rup=0.21050701173209088, Rdown=0.3744681002158759
  λ=695.9798994974874 nm -> Rup=0.2076639187859197, Rdown=0.36664158240396366
  λ=698.7437185929648 nm -> Rup=0.2064958167347561, Rdown=0.3595996913905723
  λ=701.5075376884422 nm -> Rup=0.20702969460949103, Rdown=0.35336302131467123
  λ=704.2713567839196 nm -> Rup=0.20937416787198862, Rdown=0.3480474766197942
