n_mode,Rup
1,0.26245938738834657
2,0.364314755357156
3,0.41999236939042095
4,0.3694070121787382
5,0.39888801174343463
6,0.4204753592547852
7,0.42317549276320104
8,0.3393799941438314
9,0.4217767283996721
10,0.424889393978946
11,0.36709630664523735
12,0.4263714096122151
13,0.41968013322703807
14,0.4217185878938223
15,0.4276496462985797
16,0.42342482699337064
17,0.4031130410675759
18,0.4261397681715735
19,0.4193527733508874
20,0.41307290048555445
