n_mode,Rup
1,0.6862607438288821
2,0.6522716955618774
3,0.4817279092306331
4,0.5520441094709398
5,0.6690153604682509
6,0.6158824606901464
7,0.5811522800981007
8,0.664058872890263
9,0.6599673653369394
10,0.6288791618816191
11,0.6354707017704413
12,0.6650680647258954
13,0.6446321503653332
14,0.6387197035826683
15,0.6668870589862842
16,0.6575322741266024
17,0.6452278965649199
18,0.6566583598399791
19,0.6641790034943691
20,0.6544323062366857
21,0.6544217801416126
22,0.6672629161212161
23,0.6588864893747304
24,0.6558533063198337
25,0.6650481522156754
26,0.6638043070465829
27,0.6587207484947286
28,0.661693242645996
29,0.666790294656995
30,0.6613902752373297
31,0.6610764744749923
32,0.6684070992695046
33,0.6643976006586472
34,0.6618058628751836
35,0.6659617910466843
36,0.6666052439587776
37,0.6632814408746285
38,0.6645858759140897
39,0.6683314038547038
40,0.6650311507831822
41,0.6643008966995896
42,0.668941095110657
43,0.6665598467830305
44,0.6647460148608103
45,0.6670964982025992
46,0.6680354004627983
47,0.6656458258426593
48,0.6663333823617421
49,0.6691317396331354
50,0.6667820735011096
51,0.6661715850207037
52,0.6692456950450171
53,0.6679003035179164
54,0.6664698039752586
55,0.6679814567154623
56,0.6688805027795808
57,0.667096513249327
58,0.6674847107145185
59,0.6696623919716284
60,0.6679115309002592
61,0.6673762225077398
62,0.6695155673634251
63,0.6687523463840144
64,0.6675897733955434
65,0.6686499001695181
66,0.6694695762808839
67,0.6680516151922817
68,0.6682919800894347
69,0.6700474906879308
70,0.6686609568208547
71,0.6682104606910595
72,0.6697947894605032
73,0.669315332500298
74,0.6683696131231102
75,0.6691612199307628
76,0.6698936208524006
77,0.6687230035817631
78,0.6688860774492342
79,0.6703362933064451
80,0.6692011851642978
81,0.668819512381562
82,0.6700556093572977
83,0.669727144930432
84,0.6689408042147826
85,0.669561857676568
86,0.6702094532821501
87,0.6692194371356693
88,0.6693399588512573
89,0.6705607302788774
90,0.6696054259505508
91,0.6692820891843501
92,0.6702866628572008
93,0.6700381388255882
94,0.669375733116016
95,0.6698828894942235
96,0.6704501809665263
97,0.6696003460190469
98,0.6696970748571326
99,0.6707415004901576
100,0.669918415644632
