n_mode,Rup
1,0.699409329885243
2,0.6251144856672257
3,0.5771828328754982
4,0.5620157867668076
5,0.7013721200776314
6,0.6680428324979908
7,0.6389313608833027
8,0.7027443626391269
9,0.6903533780683918
10,0.6578868892453268
11,0.6680207410621529
12,0.7001570257168974
13,0.6632232900848387
14,0.669785913779356
15,0.7039608454536214
16,0.6860367415073881
17,0.6814407125758388
18,0.6911370901091742
19,0.6996227370548593
20,0.6880193969713823
21,0.6887446637386623
22,0.7050497858608981
23,0.696453426370399
24,0.6903071082299846
25,0.7020396309636331
26,0.7009602723348415
27,0.6934764709789755
28,0.6975620505179398
29,0.7046510333691736
30,0.697843258946437
31,0.6969485178560874
32,0.7062166943366226
33,0.7007829203924613
34,0.697874271914542
35,0.7029361637129703
36,0.7040926335930024
37,0.69978986553225
38,0.701238507136509
39,0.7061466419300597
40,0.7018782979252634
41,0.7010054263605376
42,0.7071060026642135
43,0.7039064165953454
44,0.7016078012953716
45,0.7044352853016993
46,0.7056900522690744
47,0.7028255066991944
48,0.7034963748668847
49,0.707210521975394
50,0.7042612091172771
51,0.7033622209754573
52,0.7074389808468915
53,0.7056498954697616
54,0.703786289597535
55,0.7056044547203316
56,0.7068968488244421
57,0.7046024084115812
58,0.7049856791249018
59,0.7079499027676316
60,0.7056232611045484
61,0.7048965160556999
62,0.7077195907919257
63,0.7067013432977374
64,0.7052036787426089
65,0.706477659910355
66,0.7076587200912385
67,0.7058046971139096
68,0.706033784460612
69,0.7084398903070142
70,0.7065963359176711
71,0.7059654943874982
72,0.7080555963165653
73,0.7074426995479812
74,0.7061954309413696
75,0.707149039994096
76,0.7081912576577826
77,0.7066608821094402
78,0.7068072927584191
79,0.7087992494422583
80,0.7072814789685025
81,0.7067489770132944
82,0.708384096315597
83,0.7079640317713758
84,0.706925547383891
85,0.7076765802698288
86,0.7086007088720321
87,0.7072954901550015
88,0.7073989784262207
89,0.7090821132014712
90,0.7077987040425441
91,0.7073458163316285
92,0.7086787688797249
93,0.7083652147096006
94,0.7074835836235346
95,0.7080993207633486
96,0.7089104828884014
97,0.7077833816400698
98,0.7078650492794271
99,0.7093104222766852
100,0.7082003679370392
