n_mode,Rup
1,0.28276241826722687
2,0.24839295119337285
3,0.25636914925266185
4,0.24635792831074996
5,0.24884918689991029
6,0.2520905655132654
7,0.24741030797520214
8,0.24729610584292283
9,0.250410722558243
10,0.2490419077971633
11,0.24275736549760657
12,0.2497141415989127
13,0.24903594716703084
14,0.24844721021523267
15,0.24898582959965976
16,0.2496090043572377
17,0.24926512247805727
18,0.2473917052136909
19,0.2497695358460926
20,0.24897376170975793
21,0.24873175461937064
22,0.24918698260931355
23,0.24898270817185475
24,0.24781190093085317
25,0.24870575118933852
26,0.24904438212454932
27,0.24823841762601406
28,0.24891077927516028
29,0.2492250955060773
30,0.24851480623107758
31,0.24837046693583145
32,0.2492833102738611
33,0.24875840847735756
34,0.24872381329974727
35,0.24902477132543324
36,0.2489499847011867
37,0.24879941326805566
38,0.24874470515108632
39,0.24904899570453543
40,0.24880416978506315
41,0.24883829908419078
42,0.24911703630021118
43,0.24883595058327637
44,0.24859146549062766
45,0.2489313932683549
46,0.24889717737067538
47,0.24865335550716924
48,0.24889730967910847
49,0.24897632640077222
50,0.24873634292875696
51,0.2487721452998682
52,0.24904203380926448
53,0.24882038970374762
54,0.24880845518356154
55,0.24901058044105046
56,0.24888856788986644
57,0.24880432262311353
58,0.2488895551769244
59,0.24894498133957307
60,0.24880482336646764
61,0.24882526814151743
62,0.2489961338729365
63,0.24883780305218803
64,0.2487712406601905
65,0.24898277444002212
66,0.24888141381461723
67,0.24878046968859227
68,0.24888233736725873
69,0.24892392896836404
70,0.24881685504450654
71,0.24885226360108575
72,0.2489586354706807
73,0.24884624966775407
74,0.24883725962925873
75,0.24897780924042695
76,0.24888124820159324
77,0.2488282743345713
78,0.24891337987167114
79,0.24891620654755697
80,0.24882904673138662
81,0.2488506354904273
82,0.24894965943860992
83,0.2488527619259214
84,0.24883140911737597
85,0.24897425023026093
86,0.2488807478012139
87,0.24882893575094048
88,0.24890420144231604
89,0.2489081168707814
90,0.24884370180909748
91,0.24887612127482722
92,0.24893367157964946
93,0.24885971462953999
94,0.24885471615677102
95,0.24895571624217458
96,0.2488820105420972
97,0.24884718557586247
98,0.2489144591276908
99,0.24890562722003046
100,0.2488493487045058
