n_mode,Rup
1,0.4683919071491473
2,0.46729467688103776
3,0.3792534774030554
4,0.39830054643582574
5,0.4751457064407023
6,0.45302618379063925
7,0.436826607133392
8,0.47036832681569346
9,0.4734955885397219
10,0.45034013947260126
11,0.45701083547716115
12,0.4748570225365511
13,0.4582386840782292
14,0.45900374922327375
15,0.4756456914228501
16,0.46962771414038923
17,0.464536427153932
18,0.4699358462216739
19,0.47542269340194676
20,0.47000470463952676
21,0.46939228056454096
22,0.4779028065106259
23,0.4734745418468068
24,0.47048783570332053
25,0.4758446719607032
26,0.4762709329601815
27,0.47245069735688294
28,0.4742771638463899
29,0.47827627722306565
30,0.47469125154277364
31,0.4741807691605135
32,0.47887564569058594
33,0.4766773441231851
34,0.4747903749038756
35,0.4772168268084218
36,0.4783560103431066
37,0.475944567536136
38,0.4766146041452604
39,0.4793958450054455
40,0.4772382923362828
41,0.4765897326075076
42,0.47956074739702637
43,0.47835127736375616
44,0.47697796721509605
45,0.47837113856508795
46,0.4793719529175008
47,0.47769792240119463
48,0.47803640294282135
49,0.48009013331087563
50,0.47857085708727626
51,0.4780240015713461
52,0.4799732831627969
53,0.4794256057263564
54,0.47829210945854506
55,0.47920731106693204
56,0.4801027735750691
57,0.47878649915465804
58,0.47898203945257495
59,0.48059681513162816
60,0.4794195878452111
61,0.47897333452885005
62,0.48031991145242614
63,0.48007766716521827
64,0.47916672076504124
65,0.47981797197544185
66,0.4806062107169244
67,0.47953452658954754
68,0.4796530958396922
69,0.48096005229637706
70,0.4800204094054368
71,0.4796444648386349
72,0.4806434654518646
73,0.4805373434115732
74,0.47978941905554373
75,0.48028157009996375
76,0.4809671051418056
77,0.48007429342233565
78,0.480152931409634
79,0.4812349340222941
80,0.4804565443925549
81,0.4801429637682883
82,0.4809267280874424
83,0.4808744896318473
84,0.4802544063749637
85,0.4806445332088032
86,0.4812443816757263
87,0.48048064516227185
88,0.4805388195356638
89,0.48145419624587343
90,0.4807911002040243
91,0.4805271918296332
92,0.48116799223508855
93,0.4811374507432087
94,0.4806142740993578
95,0.4809356328009272
96,0.48145637916321127
97,0.480797485716305
98,0.48084538453624015
99,0.4816341003631588
100,0.4810546125369954
