n_mode,Rup
1,0.32399757974101207
2,0.23676589111470517
3,0.24031445201077803
4,0.2672853464906785
5,0.23430562568274513
6,0.23246638136702608
7,0.2252236901604916
8,0.21838705200473668
9,0.2287420136068694
10,0.227777095912923
11,0.21384872333972815
12,0.22681788003105702
13,0.2271690792268011
14,0.22449147730545096
15,0.22549500721788895
16,0.22780866640269345
17,0.22634375244965604
18,0.22251903120969754
19,0.22758579774561533
20,0.22620307590364844
21,0.22454511992044826
22,0.22604501435747676
23,0.22612384434773578
24,0.22374879197405584
25,0.2251230338891729
26,0.2261802092790911
27,0.22429896573043168
28,0.22516694493362327
29,0.22636887724638993
30,0.22491680827725374
31,0.22433473095157352
32,0.22618580148967557
33,0.22540886868101093
34,0.22490349411099844
35,0.2255107626435776
36,0.22573562852142412
37,0.22515589868625202
38,0.22500409432241386
39,0.22586090979102647
40,0.2252484325848372
41,0.22513581912942882
42,0.22586944538568965
43,0.22537383013609674
44,0.22476537429953453
45,0.22538501881605338
46,0.2255066731500681
47,0.2249015308206457
48,0.22526979967016136
49,0.22562739031697837
50,0.22509742163533836
51,0.22502021988773194
52,0.22568744354591033
53,0.22527297968340956
54,0.22507500756184542
55,0.2254990684335668
56,0.22540561839700815
57,0.22510970749740963
58,0.22522756083476142
59,0.2254968297934719
60,0.2251523128685293
61,0.22511331605121626
62,0.225550065930019
63,0.2252445420934289
64,0.2250232660354164
65,0.22544110243038823
66,0.22533888820495493
67,0.22506148186902564
68,0.22521709938418003
69,0.22541253230199784
70,0.22514997748926618
71,0.22513483820316
72,0.22545245454375734
73,0.22522402214788526
74,0.2251169521477179
75,0.2254263619763014
76,0.22529951125312636
77,0.2251195658965881
78,0.22525230457532588
79,0.22536174855341612
80,0.22514612003742154
81,0.22513421327059904
82,0.22540505130329788
83,0.22520829428537603
84,0.22510280739504385
85,0.2254050862972399
86,0.22527071171899743
87,0.22511310147978775
88,0.22523349763584466
89,0.22532143091976528
90,0.22515506439063362
91,0.22516722099053962
92,0.22535582167647136
93,0.22520053226938772
94,0.2251343479979313
95,0.2253649190061045
96,0.2252513276738784
97,0.22513191746328465
98,0.2252449757917057
99,0.22529586191484097
100,0.22515227744120334
